rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	2	0.20174019994318831	-128.99372978986221	C20H30O4	[M + K]+	JWQFSZPHDJUDSP	InChI=1S/C20H30O4/c1-13(2)14(12-21)6-7-15-16(22)8-9-17-19(15,3)10-5-11-20(17,4)18(23)24/h12,15,17H,5-11H2,1-4H3,(H,23,24)	null	CC(=C(CCC1C(=O)CCC2C1(CCCC2(C)C(=O)O)C)C=O)C	3.70000005	46909880	COCONUT:(CNP0134112 CNP0366970);PubChem:(46909880);PNC:(LTS0214603);SuperNatural:(SN00162408)	68722622466
2	2	N/A	-133.5377268820621	C20H30O4	[M + K]+	QYCOHMYDSOZCQD	InChI=1S/C20H30O4/c1-13(12-17(21)22)6-8-15-14(2)7-9-16-19(15,3)10-5-11-20(16,4)18(23)24/h12,15-16H,2,5-11H2,1,3-4H3,(H,21,22)(H,23,24)	agathicacid	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)O)C	4.80000019	541901;5364174;6436877;21600032;22568711;23786453;101609218;101609219;101297672;132838614	COCONUT:(CNP0122177);HMDB:(36828);KNApSAcK:(22522);Natural Products:(UNPD45603 UNPD156998 UNPD173052 UNPD224155 UNPD89011 UNPD111637);PubChem:(541901 5364174 6436877 21600032 22568711 23786453 101609218 101609219 101297672 132838614);PNC:(LTS0137500 LTS0276518);SuperNatural:(SN00401998 SN00261602 SN00245962 SN00299516 SN00341073);PubChem class - bio and metabolites;MeSH:(6436877);PubMed	68739432542
3	2	N/A	-141.64686887046216	C20H30O4	[M + K]+	AZDNKBZTUMFXFL	InChI=1S/C20H30O4/c1-13(2)14(12-21)6-7-15-16(22)8-9-17-19(15,3)10-5-11-20(17,4)18(23)24/h6,12-13,15,17H,5,7-11H2,1-4H3,(H,23,24)	null	CC(C)C(=CCC1C(=O)CCC2C1(CCCC2(C)C(=O)O)C)C=O	3.4000001	46229975	COCONUT:(CNP0107740);Natural Products:(UNPD39863);PubChem:(46229975);PNC:(LTS0018737);SuperNatural:(SN00239285);PubMed	68722655298
4	2	N/A	-142.9440550521057	C20H30O4	[M + K]+	BDGVLOCEQIJJDJ	InChI=1S/C20H30O4/c1-12(2)13-11-20(24)9-6-15-18(3,16(20)10-14(13)21)7-5-8-19(15,4)17(22)23/h11-12,15-16,24H,5-10H2,1-4H3,(H,22,23)	8a-hydroxy-1,4a-dimethyl-6-oxo-7-propan-2-yl-2,3,4,4b,5,9,10,10a-octahydrophenanthrene-1-carboxylic acid	CC(C)C1=CC2(CCC3C(C2CC1=O)(CCCC3(C)C(=O)O)C)O	3.0999999	245310;14705598;92229729;92229726;92229727;92229728	COCONUT:(CNP0236506);HMDB:(35878);Natural Products:(UNPD183851 UNPD24811);PubChem:(245310 14705598 92229729 92229726 92229727 92229728);PNC:(LTS0024248);SuperNatural:(SN00387123 SN00324002);PubChem class - bio and metabolites;PubMed	68739432522
5	2	N/A	-160.85509881967022	C20H30O4	[M + K]+	UCRJIYGYSLKACR	InChI=1S/C20H30O4/c1-13(2)16(22)8-7-15-14(12-21)6-9-17-19(15,3)10-5-11-20(17,4)18(23)24/h6,12-13,15,17H,5,7-11H2,1-4H3,(H,23,24)	(1R,4aR,5R,8aR)-6-formyl-1,4a-dimethyl-5-(4-methyl-3-oxopentyl)-2,3,4,5,8,8a-hexahydronaphthalene-1-carboxylic acid	CC(C)C(=O)CCC1C(=CCC2C1(CCCC2(C)C(=O)O)C)C=O	3.4000001	3009628	COCONUT:(CNP0214080);Natural Products:(UNPD99039);PubChem:(3009628);PNC:(LTS0147733 LTS0137968);SuperNatural:(SN00234663);PubMed;KEGG Mine	77312589890
6	2	N/A	-163.79290821590732	C20H30O4	[M + K]+	QSFLWQIGANLWJS	InChI=1S/C20H30O4/c1-12(2)13-5-6-15-14(9-13)16(22)10-17-19(15,3)7-4-8-20(17,11-21)18(23)24/h9,12,14-15,17,21H,4-8,10-11H2,1-3H3,(H,23,24)	null	CC(C)C1=CC2C(CC1)C3(CCCC(C3CC2=O)(CO)C(=O)O)C	3.26241302	""	COCONUT:(CNP0213751);Natural Products:(UNPD15421);PNC:(LTS0194962 LTS0031936);SuperNatural:(SN00314144)	68722655232
7	2	N/A	-166.68144472506552	C20H30O4	[M + K]+	UFEHYRPBLFGEJW	InChI=1S/C20H30O4/c1-12(2)20(24)9-6-14-13(11-20)15(21)10-16-18(14,3)7-5-8-19(16,4)17(22)23/h11-12,14,16,24H,5-10H2,1-4H3,(H,22,23)	(1R,4aR,4bR,7S,10aR)-7-hydroxy-1,4a-dimethyl-9-oxo-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid	CC(C)C1(CCC2C(=C1)C(=O)CC3C2(CCCC3(C)C(=O)O)C)O	3.0999999	15450492;24066904;51520229;51520231;51520233;124871204;124871205;124432827;124432828	COCONUT:(CNP0064475 CNP0281148);Natural Products:(UNPD25151 UNPD151165);PubChem:(15450492 24066904 51520229 51520231 51520233 124871204 124871205 124432827 124432828);PNC:(LTS0130221 LTS0007776);SuperNatural:(SN00019834 SN00278582 SN00036798 SN00019836 SN00019833 SN00036797 SN00278193 SN00036796 SN00036799 SN00019835);ZINC bio:(ZINC13303387 ZINC13303389 ZINC13303394 ZINC13303397 ZINC14411497 ZINC14411500 ZINC14411503 ZINC14411506);additional;Training Set;PubMed	68723204162
8	2	N/A	-186.0196029776146	C20H30O4	[M + K]+	MYHXHCUNDDAEOZ	InChI=1S/C20H30O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h4,7,12-18,21H,2-3,5-6,8-11H2,1H3,(H,23,24)	Medullin	CCCCCC(C=CC1C=CC(=O)C1CC=CCCCC(=O)O)O	3.5999999	4953;99022;5280880;5283085;5283092;5353901;6334692;9884115;12314621;9945614;10246299;21773164;22833602;24867284;35020884;35020890;40488287;57370113;53390664;53477471;53477472;53477473;53477474;57903328;68148297;68149236;70578248;70580169;71684359;70625930;70626089;71312291;91933439;124524607;124351290;126456240;134751295	HMDB:(2752);PNC:(LTS0104516 LTS0046612);SuperNatural:(SN00239027 SN00362133 SN00231204);ZINC bio:(ZINC04521813 ZINC13516012);additional;MeSH:(5280880 5353901 35020890);PubMed;COCONUT:(CNP0267569);Natural Products:(UNPD135954 UNPD112703 UNPD179085);PubChem:(4953 99022 5280880 5283085 5283092 5353901 6334692 9884115 12314621 9945614 10246299 21773164 22833602 24867284 35020884 35020890 40488287 57370113 53390664 53477471 53477472 53477473 53477474 57903328 68148297 68149236 70578248 70580169 71684359 70625930 70626089 71312291 91933439 124524607 124351290 126456240 134751295);CHEBI:(133370 27820);PubChem class - bio and metabolites;KEGG:(C05953);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-21228)	68807092590
9	2	N/A	-190.84704170561767	C20H30O4	[M + K]+	ANHLKXBWFSLYAB	InChI=1S/C20H30O4/c1-12-6-8-14-13(16(12)17(21)22)7-9-15-19(14,2)10-5-11-20(15,3)18(23)24-4/h12,14-15H,5-11H2,1-4H3,(H,21,22)	null	CC1CCC2C(=C1C(=O)O)CCC3C2(CCCC3(C)C(=O)OC)C	4.3870163	""	COCONUT:(CNP0315944);Natural Products:(UNPD7533);PNC:(LTS0117223 LTS0160339);SuperNatural:(SN00398264)	68722655232
10	2	N/A	-207.32996735797602	C20H30O4	[M + K]+	IQKPNFFLSFPURG	InChI=1S/C20H30O4/c1-12(2)13-11-20-9-6-15-18(3,16(20)10-14(13)23-24-20)7-5-8-19(15,4)17(21)22/h11-12,14-16H,5-10H2,1-4H3,(H,21,22)	4b,8-dimethyl-2-(propan-2-yl)-4,4a,4b,5,6,7,8,8a,9,10-decahydro-3h-3,10a-epidioxyphenanthrene-8-carboxylic acid	CC(C)C1=CC23CCC4C(C2CC1OO3)(CCCC4(C)C(=O)O)C	3.79999995	290006;15929993;23955800;98521702;98521703;98271366;98271367;101105392;124527190	COCONUT:(CNP0175205);Natural Products:(UNPD184557 UNPD28876);PubChem:(290006 15929993 23955800 98521702 98521703 98271366 98271367 101105392 124527190);PNC:(LTS0070121 LTS0026154 LTS0043549);SuperNatural:(SN00338079 SN00377479);PubMed	68722655298
