rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	N/A	-134.09658883642544	C20H34O2	[M - H2O + H]+	WTFWUWLORKLWCJ	InChI=1S/C20H34O2/c1-15(10-13-21)6-8-17-16(2)7-9-18-19(3,14-22)11-5-12-20(17,18)4/h17-18,21-22H,1-2,5-14H2,3-4H3	3-(2-[5-(Hydroxymethyl)-5,8a-dimethyl-2-methylenedecahydro-1-naphthalenyl]ethyl)-3-buten-1-ol	CC1(CCCC2(C1CCC(=C)C2CCC(=C)CCO)C)CO	4.9000001	620806;330567;330568;22295355;101607638;101607639	PubChem:(620806 330567 330568 22295355 101607638 101607639);PNC:(LTS0079225)	68719476738
2	1	N/A	-135.3048255261275	C20H34O2	[M - H2O + H]+	MJHWZTRFACWHTA	InChI=1S/C20H34O2/c1-15(10-13-21)6-8-17-16(2)7-9-18-19(3,14-22)11-5-12-20(17,18)4/h10,17-18,21-22H,2,5-9,11-14H2,1,3-4H3	Labda-8(20),13-diene-15,19-diol, (E)-	CC(=CCO)CCC1C(=C)CCC2C1(CCCC2(C)CO)C	4.69999981	5316778;11623697;15558517;15558518;24011646;52948928;53233895;90709643;101192519;101297733	COCONUT:(CNP0229242);KNApSAcK:(22520);Natural Products:(UNPD111760 UNPD44681 UNPD147363 UNPD226719 UNPD21589 UNPD37053 UNPD90639 UNPD27773 UNPD98902 UNPD213275 UNPD228810 UNPD209832 UNPD179041 UNPD183983);PubChem:(5316778 11623697 15558517 15558518 24011646 52948928 53233895 90709643 101192519 101297733);PNC:(LTS0252332 LTS0244735);SuperNatural:(SN00238139 SN00350066 SN00230565 SN00382549 SN00260185 SN00162892 SN00348946 SN00319418 SN00028482 SN00028481);ZINC bio:(ZINC31155732 ZINC31155737);PubMed	68722663506
3	1	N/A	-147.2369550354573	C20H34O2	[M - H2O + H]+	SYDAZCMKEWZACM	InChI=1S/C20H34O2/c1-6-15(2)8-9-17-19(4)12-7-11-18(3,14-21)16(19)10-13-20(17,5)22/h6,8,16-17,21-22H,1,7,9-14H2,2-5H3	(1R,2R,4aR,5S,8aS)-5-(hydroxymethyl)-2,5,8a-trimethyl-1-[(2Z)-3-methylpenta-2,4-dienyl]-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol	CC(=CCC1C2(CCCC(C2CCC1(C)O)(C)CO)C)C=C	5.0	16062727;57075966;88355989;88355991	COCONUT:(CNP0321484);KNApSAcK:(22729);Natural Products:(UNPD82803);PubChem:(16062727 57075966 88355989 88355991);PNC:(LTS0115730 LTS0222289);SuperNatural:(SN00229158);KEGG Mine	77312589842
4	1	N/A	-162.44566116089473	C20H34O2	[M - H2O + H]+	IERFAZQCIAZODG	InChI=1S/C20H34O2/c1-6-19(4,22)13-10-16-15(2)8-9-17-18(3,14-21)11-7-12-20(16,17)5/h6,16-17,21-22H,1-2,7-14H2,3-5H3	Torreferol	CC1(CCCC2(C1CCC(=C)C2CCC(C)(C=C)O)C)CO	4.30000019	1549790;349315;7067832;6560267;6708597;12444399;12444400;12444402;11870457;11903607;11903608;17037400;16758028;25803328;46230470;70698102;92220937;101277957;124765576;124765577	COCONUT:(CNP0321646);KNApSAcK:(22717);Natural Products:(UNPD136452 UNPD168287 UNPD48717 UNPD132088 UNPD182992 UNPD151147 UNPD73312 UNPD125978);PubChem:(1549790 349315 7067832 6560267 6708597 12444399 12444400 12444402 11870457 11903607 11903608 17037400 16758028 25803328 46230470 70698102 92220937 101277957 124765576 124765577);PNC:(LTS0035599 LTS0239185 LTS0018346);SuperNatural:(SN00273450 SN00245595 SN00006518 SN00352315 SN00260540 SN00006519 SN00268825 SN00006516 SN00006517 SN00372284);CHEBI:(69177);ZINC bio:(ZINC02558141 ZINC03978567 ZINC03978568 ZINC03978569 ZINC03978570 ZINC04942615 ZINC13566868 ZINC13566869);PubMed	68722663538
5	1	N/A	-165.80217013001376	C20H34O2	[M - H2O + H]+	BPVLHHCARIEPNP	InChI=1S/C20H34O2/c1-7-19(5,22)12-10-15-14(2)8-9-16-18(3,4)17(21)11-13-20(15,16)6/h7,15-17,21-22H,1-2,8-13H2,3-6H3	(+)-3.beta.-Hydroxymanool	CC1(C2CCC(=C)C(C2(CCC1O)C)CCC(C)(C=C)O)C	4.19999981	479909;10881339;11001282;11426755;91750212	COCONUT:(CNP0146172);KNApSAcK:(22711);Natural Products:(UNPD73019 UNPD130069 UNPD38344 UNPD146247 UNPD163427 UNPD44181 UNPD152357);PubChem:(479909 10881339 11001282 11426755 91750212);PNC:(LTS0135949 LTS0272270);SuperNatural:(SN00396063 SN00287750 SN00385444 SN00295388 SN00262133 SN00371329 SN00291506);PubMed	68722655314
6	1	N/A	-173.71305543733047	C20H34O2	[M - H2O + H]+	CLGDBTZPPRVUII	InChI=1S/C20H34O2/c1-7-19(5,22)12-9-15-14(2)13-16(21)17-18(3,4)10-8-11-20(15,17)6/h7,15-17,21-22H,1-2,8-13H2,3-6H3	Larixol	CC1(CCCC2(C1C(CC(=C)C2CCC(C)(C=C)O)O)C)C	4.5999999	518935;6558358;6708759;12187315;10902861;10946716;11335788;16758026;59350370;117714239;124490399;124490400;124490401;124490402;134524955;138108152	COCONUT:(CNP0248608);KNApSAcK:(22713);Natural Products:(UNPD57397 UNPD124737 UNPD73573 UNPD143713 UNPD163290);PubChem:(518935 6558358 6708759 12187315 10902861 10946716 11335788 16758026 59350370 117714239 124490399 124490400 124490401 124490402 134524955 138108152);PNC:(LTS0256797 LTS0030264);SuperNatural:(SN00006641 SN00006642 SN00290533 SN00006643 SN00006644 SN00290554 SN00286548 SN00318235);ZINC bio:(ZINC03979068 ZINC03979069 ZINC03979071 ZINC03979072);additional;MeSH:(518935 6708759 11335788);PubMed	68723187798
7	1	N/A	-181.40542222215598	C20H34O2	[M - H2O + H]+	OFUDNTAMPZZAGY	InChI=1S/C20H34O2/c1-6-8-15(21)9-10-16-14(2)13-17(22)18-19(3,4)11-7-12-20(16,18)5/h6,15-18,21-22H,1-2,7-13H2,3-5H3	null	CC1(CCCC2(C1C(CC(=C)C2CCC(CC=C)O)O)C)C	4.92487001	""	COCONUT:(CNP0207388);Natural Products:(UNPD81274);PNC:(LTS0142797 LTS0007519);SuperNatural:(SN00274327)	68722655232
8	1	N/A	-217.48372124559975	C20H34O2	[M - H2O + H]+	FTAUCLDTIVGRBJ	InChI=1S/C20H34O2/c1-18(2)9-5-10-20(4)15-8-11-19(3,17(22)13-21)12-14(15)6-7-16(18)20/h16-17,21-22H,5-13H2,1-4H3	null	CC1(CCCC2(C1CCC3=C2CCC(C3)(C)C(CO)O)C)C	4.19999981	13816768;101339744	COCONUT:(CNP0282505);Natural Products:(UNPD113380 UNPD162338);PubChem:(13816768 101339744);PNC:(LTS0140743 LTS0249843);SuperNatural:(SN00286968 SN00391764);MeSH:(13816768);PubMed	68722655302
9	1	N/A	-254.37413771875978	C20H34O2	[M - H2O + H]+	BSKNIQVPQSFUSP	InChI=1S/C20H34O2/c1-15(2)17-10-13-19(4,21)12-6-7-16(3)8-9-18-20(5,22-18)14-11-17/h7,10,13,15,17-18,21H,6,8-9,11-12,14H2,1-5H3	(4E,9E)-4,8,14-trimethyl-11-propan-2-yl-15-oxabicyclo[12.1.0]pentadeca-4,9-dien-8-ol	CC1=CCCC(C=CC(CCC2(C(O2)CC1)C)C(C)C)(C)O	4.19999981	14137230;90474744	COCONUT:(CNP0238825);Natural Products:(UNPD99940 UNPD192342 UNPD88966 UNPD114079);PubChem:(14137230 90474744);PNC:(LTS0115402 LTS0165489);SuperNatural:(SN00351265 SN00296333 SN00338712)	68722655234
10	1	N/A	-314.90853953045644	C20H34O2	[M - H2O + H]+	OOLRCVXXZSHYDM	InChI=1S/C20H34O2/c1-7-19(5,21)16-13-15-18(4)11-8-10-17(2,3)14(18)9-12-20(15,6)22-16/h7,14-16,21H,1,8-13H2,2-6H3	2-(3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran-2-yl)but-3-en-2-ol	CC1(CCCC2(C1CCC3(C2CC(O3)C(C)(C=C)O)C)C)C	5.0	15241254;15241255;15241256;15241257;46229741;44482549;101664163	COCONUT:(CNP0165303);Natural Products:(UNPD193932 UNPD45549 UNPD83476 UNPD45422 UNPD81484 UNPD141579 UNPD86223);PubChem:(15241254 15241255 15241256 15241257 46229741 44482549 101664163);PNC:(LTS0216615);SuperNatural:(SN00246925 SN00382358 SN00279180 SN00256347 SN00309564 SN00382823);PubMed	68722655298
