rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C44H72O8	[M + Na]+	C44H72O8	0.7216080402010051	56.51278238175013	56.51278238175013	0.0	21	0.34519271495129183	-4.752693703863773	4.867949536530693	0.7997320219486362	
2	C43H76O9S	[M - H2O + H]+	C43H74O8S	0.15376884422110554	54.42951556540348	54.42951556540348	0.0	22	0.3619229140194833	-4.752693703863773	6.69630000763356	-23972.641185783996	
2	C43H74O8S	[M + H]+	C43H74O8S	0.15376884422110554	54.42951556540348	54.42951556540348	0.0	21	0.3619229140194833	-4.752693703863773	6.69630000763356	-6.887186938333711	
3	C46H72O9	[M - H2O + H]+	C46H70O8	0.03869346733668341	53.752944223552944	53.752944223552944	0.0	21	0.3312155866158408	-4.810321620197233	5.782124772082127	-23968.155395040205	
3	C46H70O8	[M + H]+	C46H70O8	0.03869346733668341	53.752944223552944	53.752944223552944	0.0	20	0.3312155866158408	-4.810321620197233	5.782124772082127	-2.40139619469201	
4	C38H76N2O11S	[M - H2O + H]+	C38H74N2O10S	0.031155778894472363	52.99234451185239	52.99234451185239	0.0	31	0.515459551037696	2.3010490252938327	5.724496855748667	-23967.288301060617	
4	C38H74N2O10S	[M + H]+	C38H74N2O10S	0.031155778894472363	52.99234451185239	52.99234451185239	0.0	30	0.515459551037696	2.3010490252938327	5.724496855748667	-1.5343022149582628	
5	C39H72N2O10	[M + Na]+	C39H72N2O10	0.026130653266331662	53.29391365792086	53.29391365792086	0.0	30	0.515459551037696	2.610301327857885	6.397198362644946	6.152616745324084	
6	C37H76O13	[M + Na]+	C37H76O13	0.022110552763819097	53.09464602815433	53.09464602815433	0.0	23	0.3875476493011436	2.143017195185861	3.819894544419332	-7.015477545047409	
7	C41H76O8S	[M + Na]+	C41H76O8S	0.005025125628140704	51.38215021389116	51.38215021389116	0.0	22	0.3748411689961881	1.8573331154426964	3.5925606719958436	-3.686058721693065	
8	C36H76N2O10S	[M + Na]+	C36H76N2O10S	0.0015075376884422112	49.66621870192757	49.66621870192757	0.0	25	0.4233375688267684	0.842302335825745	2.7963352454849106	1.6668260016823833	
9	C42H76N2O6S2	[M - H2O + H]+	C42H74N2O5S2	0.0	48.82200642641896	48.82200642641896	0.0	26	0.40830156713257093	0.04969542863747009	4.175924202521446	-23963.958882237115	
9	C42H74N2O5S2	[M + H]+	C42H74N2O5S2	0.0	48.82200642641896	48.82200642641896	0.0	25	0.40830156713257093	0.04969542863747009	4.175924202521446	1.7951166085473587	
10	C39H74N3O7S	[M + Na]+	C39H74N3O7S	0.0	48.3174123052271	48.3174123052271	0.0	27	0.4466327827191868	1.6691937670360153	3.531460998157281	-1.8994165477472393	
11	C36H78N3O8S	[M + K]+	C36H78N3O8S	0.0	41.765104790585355	41.765104790585355	0.0	23	0.4008894536213469	0.8167981857031424	3.653660345834406	-2.101872250997139	
