rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.7090263829116036	-40.495111684174546	C20H32O2	[M + H]+	YZXBAPSDXZZRGB	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)	arachidonate	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O	6.30000019	231;444899;3037205;3246804;5312542;5460265;5462110;5462112;12083498;12096305;12111897;12183869;12358407;12358409;12358410;12358414;11507808;11551300;10957715;11580377;12990988;11822939;10380404;21872858;25113199;46844359;54536134;54536135;54536136;57238753;53394032;71311075;71313480;87131823;87549807;87196993;87883733;92449654;101108909;101200222;101200224;101342437;101342438;101342439;101342440;101351323;101826831;119077476;119080458;122651992;122652008;122652036;122652077;129726155;129893333;134689008;131953177	HMDB:(1043 60102);PNC:(LTS0241153);SuperNatural:(SN00225335 SN00011183 SN00035151 SN00314262 SN00158090 SN00228657);ZINC bio:(ZINC04474696 ZINC13507096 ZINC13507098 ZINC13507099 ZINC64219879);additional;MeSH:(444899);Plantcyc:(ARACHIDONIC_ACID);PubMed;NORMAN:(NS00013367);COCONUT:(CNP0083958 CNP0117763);KNApSAcK:(388);Natural Products:(UNPD84138 UNPD128376 UNPD228666 UNPD1153);PubChem:(231 444899 3037205 3246804 5312542 5460265 5462110 5462112 12083498 12096305 12111897 12183869 12358407 12358409 12358410 12358414 11507808 11551300 10957715 11580377 12990988 11822939 10380404 21872858 25113199 46844359 54536134 54536135 54536136 57238753 53394032 71311075 71313480 87131823 87549807 87196993 87883733 92449654 101108909 101200222 101200224 101342437 101342438 101342439 101342440 101351323 101826831 119077476 119080458 122651992 122652008 122652036 122652077 129726155 129893333 134689008 131953177);YMDB Mine;CHEBI:(137828 32395 36306 15843);PubChem class - bio and metabolites;KEGG:(C00219);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(ARACHIDONIC_ACID)	103200778622
2	1	N/A	-106.45139633554427	C20H32O2	[M + H]+	BOZVXNYLOGJCKG	InChI=1S/C20H32O2/c1-5-18(2)12-9-15-14(13-18)7-8-16-19(15,3)10-6-11-20(16,4)17(21)22/h13,15-16H,5-12H2,1-4H3,(H,21,22)	Pimar-8(14)-en-18-oic acid	CCC1(CCC2C(=C1)CCC3C2(CCCC3(C)C(=O)O)C)C	5.80000019	220339;9857648;21139472;59733708;92219499;92219500	COCONUT:(CNP0208120);Natural Products:(UNPD50588);PubChem:(220339 9857648 21139472 59733708 92219499 92219500);PNC:(LTS0185487 LTS0236106);SuperNatural:(SN00322954)	68722655234
3	1	N/A	-127.15705784807119	C20H32O2	[M + H]+	NQJDHQUUJULIEJ	InChI=1S/C20H32O2/c1-5-18(2)12-9-15-14(13-18)7-8-16-19(15,3)10-6-11-20(16,4)17(21)22/h7,15-16H,5-6,8-13H2,1-4H3,(H,21,22)	Dihydroisopimaric acid	CCC1(CCC2C(=CCC3C2(CCCC3(C)C(=O)O)C)C1)C	5.5999999	288362;9836094;56841642;59733709	COCONUT:(CNP0221286);Natural Products:(UNPD182784);PubChem:(288362 9836094 56841642 59733709);PNC:(LTS0250565 LTS0265800);SuperNatural:(SN00224404)	68722655234
4	1	N/A	-140.99991695838548	C20H32O2	[M + H]+	BTAURFWABMSODR	InChI=1S/C20H32O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h12-14,16-17H,5-11H2,1-4H3,(H,21,22)	ghl.PD_Mitscher_leg0.1242	CC(C)C1CCC2C(=C1)CCC3C2(CCCC3(C)C(=O)O)C	5.5	227277;5315024;44150026;53699714;92227438;92227440;92227441	NORMAN:(NS00001533);KEGG:(C17920);PubChem class - safety and toxic;PubChem:(227277 5315024 44150026 53699714 92227438 92227440 92227441);PNC:(LTS0086141);CHEBI:(81383)	68786848034
5	1	N/A	-146.38456762208108	C20H32O2	[M + H]+	JFQBNOIJWROZGE	InChI=1S/C20H32O2/c1-14(13-18(21)22)7-9-16-15(2)8-10-17-19(3,4)11-6-12-20(16,17)5/h13,16-17H,2,6-12H2,1,3-5H3,(H,21,22)	copalic acid	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCCC2(C)C)C	6.30000019	5367608;12305551;11162521;11808890;10380344;23786438;38352641;44149762;91746520;102574546;131752059	HMDB:(36829);PNC:(LTS0068275);SuperNatural:(SN00318454 SN00267282 SN00403112 SN00029037 SN00029036 SN00239578);ZINC bio:(ZINC31160081 ZINC31160085);additional;MeSH:(11162521);PubMed;COCONUT:(CNP0042633 CNP0193481);KNApSAcK:(22761);Natural Products:(UNPD92007 UNPD142593 UNPD182552 UNPD56842);PubChem:(5367608 12305551 11162521 11808890 10380344 23786438 38352641 44149762 91746520 102574546 131752059);PubChem class - bio and metabolites;Training Set	68739981406
6	1	N/A	-148.47622408648908	C20H32O2	[M + H]+	FSLWKIHHQUNBQK	InChI=1S/C20H32O2/c1-15(10-13-21)6-8-17-16(2)7-9-18-19(3,14-22)11-5-12-20(17,18)4/h10,14,17-18,21H,2,5-9,11-13H2,1,3-4H3	(1S,4aR,5S,8aR)-5-[(E)-5-hydroxy-3-methylpent-3-enyl]-1,4a-dimethyl-6-methylidene-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carbaldehyde	CC(=CCO)CCC1C(=C)CCC2C1(CCCC2(C)C=O)C	4.5	15559800;23872110;23983709;38346463;38346470;73198319;90472357;133554269;133561774;137705038	COCONUT:(CNP0137185);KNApSAcK:(22707);Natural Products:(UNPD31276 UNPD88847 UNPD58298 UNPD60654 UNPD216168 UNPD19507 UNPD217812);PubChem:(15559800 23872110 23983709 38346463 38346470 73198319 90472357 133554269 133561774 137705038);PNC:(LTS0199583 LTS0028108);SuperNatural:(SN00028410 SN00261489 SN00028483 SN00028411 SN00028484 SN00380454);ZINC bio:(ZINC31155251 ZINC31155256 ZINC31155741 ZINC31155745);additional;Training Set	68723204114
7	1	N/A	-160.36437791160267	C20H32O2	[M + H]+	ULTPVZGRCYQODX	InChI=1S/C20H32O2/c1-6-15(2)8-9-17-19(4)12-7-11-18(3,14-21)16(19)10-13-20(17,5)22/h6,8,14,16-17,22H,1,7,9-13H2,2-5H3	null	CC(=CCC1C2(CCCC(C2CCC1(C)O)(C)C=O)C)C=C	4.9000001	101412319	COCONUT:(CNP0137005);Natural Products:(UNPD195250);PubChem:(101412319);PNC:(LTS0146071 LTS0119951);SuperNatural:(SN00383364)	68722655234
8	1	N/A	-161.0068521461092	C20H32O2	[M + H]+	OJSKJQFODPKTBT	InChI=1S/C20H32O2/c1-5-18(2)10-8-15-14(12-18)6-7-16-19(15,3)11-9-17(22)20(16,4)13-21/h5,12,15-17,21-22H,1,6-11,13H2,2-4H3	Sandaracopimaradienediol	CC1(CCC2C(=C1)CCC3C2(CCC(C3(C)CO)O)C)C=C	4.80000019	578235;12313649;10380345;22216192;44445102;46933837;90657451;101232098;101289570;129317084	COCONUT:(CNP0244121);KNApSAcK:(34094);Natural Products:(UNPD33602 UNPD46221 UNPD143299 UNPD97538 UNPD27639 UNPD81965 UNPD181673 UNPD38349 UNPD111915);PubChem:(578235 12313649 10380345 22216192 44445102 46933837 90657451 101232098 101289570 129317084);PNC:(LTS0188971 LTS0158625);SuperNatural:(SN00268955 SN00255538 SN00388056 SN00390473 SN00282001 SN00286591 SN00298651 SN00305959);CHEBI:(69238);PubMed;Biocyc:(CPD-16615)	68722657394
9	1	N/A	-169.1191767009493	C20H32O2	[M + H]+	GLJXUJMLZHNKJU	InChI=1S/C20H32O2/c1-6-19(4,22)13-10-16-15(2)8-9-17-18(3,14-21)11-7-12-20(16,17)5/h6,14,16-17,22H,1-2,7-13H2,3-5H3	null	CC1(CCCC2(C1CCC(=C)C2CCC(C)(C=C)O)C)C=O	4.19999981	101274319;101306776	COCONUT:(CNP0410558);KNApSAcK:(22720);Natural Products:(UNPD97760 UNPD50856 UNPD120183 UNPD76231 UNPD123636);PubChem:(101274319 101306776);PNC:(LTS0152368 LTS0002872);SuperNatural:(SN00319573 SN00242142 SN00395699 SN00250321)	68722655250
10	1	N/A	-203.28140519144617	C20H32O2	[M + H]+	SWTZTWQASUSBIY	InChI=1S/C20H32O2/c1-13(2)20(22)10-7-15-14(12-20)16(21)11-17-18(3,4)8-6-9-19(15,17)5/h12-13,15,17,22H,6-11H2,1-5H3	(4aS,4bR,7S,10aS)-7-hydroxy-1,1,4a-trimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthren-9-one	CC(C)C1(CCC2C(=C1)C(=O)CC3C2(CCCC3(C)C)C)O	4.5999999	11616469;11460910;102251005	COCONUT:(CNP0162059);Natural Products:(UNPD36619 UNPD9777);PubChem:(11616469 11460910 102251005);PNC:(LTS0093620 LTS0016991);SuperNatural:(SN00276726 SN00282899)	68722655234
1	1	N/A	-115.84174762030538	C20H34O3	[M - H2O + H]+	IYXKFHZDYXAAFO	InChI=1S/C20H34O3/c1-14(13-17(21)22)7-8-16-19(4)11-6-10-18(2,3)15(19)9-12-20(16,5)23/h13,15-16,23H,6-12H2,1-5H3,(H,21,22)	(E)-5-[(1R,2R,4aS,8aS)-2-hydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-3-methylpent-2-enoic acid	CC(=CC(=O)O)CCC1C2(CCCC(C2CCC1(C)O)(C)C)C	5.30000019	13858207;13858208;70386599	COCONUT:(CNP0210686);Natural Products:(UNPD151498 UNPD74868 UNPD25304 UNPD100459);PubChem:(13858207 13858208 70386599);PNC:(LTS0044182 LTS0275162);SuperNatural:(SN00274910 SN00328572 SN00266914 SN00236665)	68722655234
2	1	N/A	-140.36344830390095	C20H34O3	[M - H2O + H]+	NSRKLZRKJJQJLD	InChI=1S/C20H34O3/c1-14(10-13-21)6-8-16-15(2)7-9-17-19(16,3)11-5-12-20(17,4)18(22)23/h14,16-17,21H,2,5-13H2,1,3-4H3,(H,22,23)	Imbricatolic Acid	CC(CCC1C(=C)CCC2C1(CCCC2(C)C(=O)O)C)CCO	4.9000001	10567892;15559751;15559752;10471393;23955908;38359639;38359644;71539440;70688370;90055849;95789933;101017024;101609207;101289596;102316720;137795258	COCONUT:(CNP0223198 CNP0418687);KNApSAcK:(23300);Natural Products:(UNPD158379 UNPD82623 UNPD169797 UNPD41249 UNPD111115 UNPD154218 UNPD2701 UNPD20227 UNPD165661);PubChem:(10567892 15559751 15559752 10471393 23955908 38359639 38359644 71539440 70688370 90055849 95789933 101017024 101609207 101289596 102316720 137795258);PNC:(LTS0098994);SuperNatural:(SN00038972 SN00287724 SN00038973 SN00029857 SN00283813 SN00378947 SN00391046 SN00377908 SN00302361 SN00322747 SN00041544 SN00041545 SN00029858 SN00366127);ZINC bio:(ZINC31166143 ZINC31166147 ZINC43511008 ZINC43511010 ZINC72319987 ZINC72319988);additional;MeSH:(15559751 15559752 38359644 70688370 137795258);Training Set;PubMed	68723204182
3	1	N/A	-178.39698321897023	C20H34O3	[M - H2O + H]+	UFSBKIDLLGCBLW	InChI=1S/C20H34O3/c1-6-15(10-13-23-5)17-14(2)8-9-16-19(17,3)11-7-12-20(16,4)18(21)22/h15-17H,2,6-13H2,1,3-5H3,(H,21,22)	null	CCC(CCOC)C1C(=C)CCC2C1(CCCC2(C)C(=O)O)C	4.90467215	""	COCONUT:(CNP0184409);Natural Products:(UNPD141753);PNC:(LTS0230915 LTS0059981);SuperNatural:(SN00270378)	68722655232
