rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.1891016378575238	-75.84686896490489	C20H30O3	[M - H4O2 + H]+	DYNISIGUMYFVJW	InChI=1S/C20H30O3/c1-12(2)14-10-13-6-7-17-19(3,15(13)11-16(14)21)8-5-9-20(17,4)18(22)23/h6,10,12,15-17,21H,5,7-9,11H2,1-4H3,(H,22,23)	6-hydroxy-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid	CC(C)C1=CC2=CCC3C(C2CC1O)(CCCC3(C)C(=O)O)C	3.5	288368;21128900;51136293;52325853;66825318;90471905;129316935;133613118	COCONUT:(CNP0061802 CNP0200236);HMDB:(39716);Natural Products:(UNPD190779 UNPD209939 UNPD25206);PubChem:(288368 21128900 51136293 52325853 66825318 90471905 129316935 133613118);PNC:(LTS0084143 LTS0255264);SuperNatural:(SN00036316 SN00039312 SN00036317 SN00227550 SN00352721 SN00039311);ZINC bio:(ZINC05104581 ZINC05104582 ZINC05104583 ZINC05104584 ZINC49601327 ZINC49601330);additional;PubChem class - bio and metabolites;Training Set;KEGG Mine	77329915914
2	1	N/A	-76.5438272354141	C20H30O3	[M - H4O2 + H]+	BYQLYGRDILHOFF	InChI=1S/C20H30O3/c1-18(2,23)14-7-8-15-13(12-14)6-9-16-19(15,3)10-5-11-20(16,4)17(21)22/h6,12,15-16,23H,5,7-11H2,1-4H3,(H,21,22)	15-hydroxyabieta-7,13-dien-18-oic acid	CC12CCCC(C1CC=C3C2CCC(=C3)C(C)(C)O)(C)C(=O)O	3.4000001	643004;11220870	COCONUT:(CNP0148664);Natural Products:(UNPD133880);PubChem:(643004 11220870);PNC:(LTS0122858 LTS0142664);SuperNatural:(SN00284739);KEGG Mine	77312589826
3	1	N/A	-81.30233715340475	C20H30O3	[M - H4O2 + H]+	KLZNBERWPKTMAP	InChI=1S/C20H30O3/c1-5-18(2)9-8-15-13(10-18)6-7-16-19(15,3)11-14(21)12-20(16,4)17(22)23/h5,10,14-16,21H,1,6-9,11-12H2,2-4H3,(H,22,23)	null	CC1(CCC2C(=C1)CCC3C2(CC(CC3(C)C(=O)O)O)C)C=C	4.19999981	46909883	COCONUT:(CNP0102882 CNP0226253);PubChem:(46909883);PNC:(LTS0081430);SuperNatural:(SN00163185);KEGG Mine	77312557058
4	1	N/A	-104.82429992384505	C20H30O3	[M - H4O2 + H]+	SNMGJTHIWYSOSX	InChI=1S/C20H30O3/c1-14(12-18(22)23)6-8-16-15(2)7-9-17-19(3,13-21)10-5-11-20(16,17)4/h12-13,16-17H,2,5-11H2,1,3-4H3,(H,22,23)	null	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCCC2(C)C=O)C	4.69999981	101297697	COCONUT:(CNP0237166);KNApSAcK:(22709);Natural Products:(UNPD112087 UNPD211495);PubChem:(101297697);PNC:(LTS0100294);SuperNatural:(SN00382125)	68722655250
5	1	N/A	-119.03135094059616	C20H30O3	[M - H4O2 + H]+	HZIPQMQRBXJVNO	InChI=1S/C20H30O3/c1-13(12-18(22)23)6-8-15-14(2)7-9-16-19(3,4)17(21)10-11-20(15,16)5/h12,15-16H,2,6-11H2,1,3-5H3,(H,22,23)	3-Oxoanticopalic Acid	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCC(=O)C2(C)C)C	4.4000001	13858184	COCONUT:(CNP0280590);Natural Products:(UNPD52783);PubChem:(13858184);PNC:(LTS0104696 LTS0095904);SuperNatural:(SN00324166);PubMed	68722655298
6	1	N/A	-121.2035107828849	C20H30O3	[M - H4O2 + H]+	WUENWZUJMIZJPA	InChI=1S/C20H30O3/c1-18(12-21)7-3-8-19(2)15(18)6-9-20-10-13(4-5-16(19)20)14(11-20)17(22)23/h11,13,15-16,21H,3-10,12H2,1-2H3,(H,22,23)	null	CC1(CCCC2(C1CCC34C2CCC(C3)C(=C4)C(=O)O)C)CO	4.80000019	14354998;91884911;91895324;129316738;137704793	COCONUT:(CNP0184453);Natural Products:(UNPD118862);PubChem:(14354998 91884911 91895324 129316738 137704793);PNC:(LTS0092318);SuperNatural:(SN00317997)	68722655234
7	1	N/A	-186.08007634752514	C20H30O3	[M - H4O2 + H]+	GDAJTKZIGQRGOD	InChI=1S/C20H30O3/c1-14(2)16-8-5-7-15(13-16)9-10-17-19(3,18(21)22)11-6-12-20(17,4)23/h5,7-8,13-14,17,23H,6,9-12H2,1-4H3,(H,21,22)	null	CC(C)C1=CC=CC(=C1)CCC2C(CCCC2(C)O)(C)C(=O)O	4.19999981	101494939	COCONUT:(CNP0272335);Natural Products:(UNPD84267);PubChem:(101494939);PNC:(LTS0161399 LTS0120852);SuperNatural:(SN00346664)	68722655234
8	1	N/A	-227.74812599927577	C20H30O3	[M - H4O2 + H]+	FTCCXIDYXDLLRK	InChI=1S/C20H30O3/c1-18(2,23)13-6-7-15-14(10-13)16(22)11-17-19(3,12-21)8-5-9-20(15,17)4/h6-7,10,16-17,21-23H,5,8-9,11-12H2,1-4H3	abieta-8,11,13-triene-7,15,18-triol	CC1(CCCC2(C1CC(C3=C2C=CC(=C3)C(C)(C)O)O)C)CO	2.9000001	220348;3009626;3838750;91895315;101405772;129317105;133561998	COCONUT:(CNP0361419);KNApSAcK:(35021);Natural Products:(UNPD216672 UNPD30553 UNPD67402);PubChem:(220348 3009626 3838750 91895315 101405772 129317105 133561998);PNC:(LTS0193734 LTS0004074);SuperNatural:(SN00229462 SN00258326);PubMed	68722655314
1	1	N/A	-160.56760400745776	C20H28O2	[M - H2O + H]+	NFWKVWVWBFBAOV	InChI=1S/C20H28O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h6,8,12-13,17H,5,7,9-11H2,1-4H3,(H,21,22)	Oprea1_166992	CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C(=O)O)C	5.5999999	510087;15618;21235;94391;1761728;1761729;1201531;7075028;7075029;7075030;7154523;7154524;5316430;6552012;6570088;10733171;6989758;6989759;12302256;10017708;19019009;25203731;71235038;122490669	HMDB:(61925);PubChem class - food;PNC:(LTS0267608 LTS0034017);SuperNatural:(SN00303715 SN00314666 SN00357126 SN00006728 SN00009678 SN00308720 SN00350079 SN00006727 SN00238891 SN00002038);ZINC bio:(ZINC01506211 ZINC02106696 ZINC04023706 ZINC04023707 ZINC04256342 ZINC05447546);additional;MeSH:(15618 94391 1201531 5316430 7075030 10017708);Plantcyc:(CPD-8725);PubMed;NORMAN:(NS00010328);COCONUT:(CNP0086007 CNP0192451);KNApSAcK:(42455);Natural Products:(UNPD90867 UNPD18524 UNPD185121 UNPD75531 UNPD126127 UNPD21395);PubChem:(510087 15618 21235 94391 1761728 1761729 1201531 7075028 7075029 7075030 7154523 7154524 5316430 6552012 6570088 10733171 6989758 6989759 12302256 10017708 19019009 25203731 71235038 122490669);CHEBI:(58621 29571);PubChem class - bio and metabolites;KEGG:(C12078);PubChem class - safety and toxic;YMDB:(2310);Training Set;Biocyc:(CPD-8725)	68941769086
2	1	N/A	-213.5456562271633	C20H28O2	[M - H2O + H]+	PRZSMDYEVUSNJM	InChI=1S/C20H28O2/c1-13(2)14-6-7-16-15(10-14)17(22)11-18-19(3,12-21)8-5-9-20(16,18)4/h6-7,10,13,18,21H,5,8-9,11-12H2,1-4H3	7-oxodehydroabietinol	CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2=O)(C)CO)C	4.5999999	10870318;15715176;85296036	COCONUT:(CNP0292054);Natural Products:(UNPD14289);PubChem:(10870318 15715176 85296036);PNC:(LTS0127150 LTS0151331);SuperNatural:(SN00398501);PubMed	68722655298
