rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C41H79NO9	[M + H]+	C41H79NO9	0.9939698492462312	57.65042477617831	57.65042477617831	0.0	27	0.6076644538322269	-3.03999059171766	6.159967637877134	1.0967548078199674	
1	C41H81NO10	[M - H2O + H]+	C41H79NO9	0.9939698492462312	57.65042477617831	57.65042477617831	0.0	28	0.6076644538322269	-3.03999059171766	6.159967637877134	-24651.202652957374	
2	C45H79NO4S	[M + H]+	C45H79NO4S	0.0025125628140703522	52.76034914393196	52.76034914393196	0.0	24	0.5931804465902234	0.0817964897907059	4.961450271999569	4.521551277446312	
2	C45H81NO5S	[M - H2O + H]+	C45H79NO4S	0.0025125628140703522	52.76034914393196	52.76034914393196	0.0	25	0.5931804465902234	0.0817964897907059	4.961450271999569	-24647.777856487748	
3	C47H75N3O3	[M + H]+	C47H75N3O3	0.0020100502512562816	52.24850193733774	52.24850193733774	0.0	20	0.5554013277006639	-3.051514966879974	4.980393236094612	-6.24005413174852	
3	C47H77N3O4	[M - H2O + H]+	C47H75N3O3	0.0020100502512562816	52.24850193733774	52.24850193733774	0.0	21	0.5554013277006639	-3.051514966879974	4.980393236094612	-24658.53946189679	
4	C42H85NO5S2	[M - H2O + H]+	C42H83NO4S2	5.025125628140704E-4	50.64745768851311	50.64745768851311	0.0	21	0.5554013277006639	-3.051514966879974	4.980393236094612	-24652.39215138932	
4	C42H83NO4S2	[M + H]+	C42H83NO4S2	5.025125628140704E-4	50.64745768851311	50.64745768851311	0.0	20	0.5554013277006639	-3.051514966879974	4.980393236094612	-0.09274362427731693	
5	C48H77NO5	[M - H2O + H]+	C48H75NO4	0.0	50.95256788157884	50.95256788157884	0.0	21	0.5554013277006639	-3.051514966879974	4.980393236094612	-24643.16356158603	
5	C48H75NO4	[M + H]+	C48H75NO4	0.0	50.95256788157884	50.95256788157884	0.0	20	0.5554013277006639	-3.051514966879974	4.980393236094612	9.13584617901433	
6	C47H81NO2	[M + K]+	C47H81NO2	0.0	50.07517435651286	50.07517435651286	0.0	20	0.5554013277006639	-3.051514966879974	4.980393236094612	-8.66170730690108	
7	C42H81N3O4	[M + K]+	C42H81N3O4	0.0	49.54712510728299	49.54712510728299	0.0	20	0.5554013277006639	-3.051514966879974	4.980393236094612	-3.1554788404484713	
8	C45H77N3O3	[M + Na]+	C45H77N3O3	0.0	49.25362531576812	49.25362531576812	0.0	20	0.5554013277006639	-3.051514966879974	4.980393236094612	-2.9472234015711516	
9	C44H77N2O6	[M + H]+	C44H77N2O6	0.0	49.233556584554464	49.233556584554464	0.0	21	0.5631261315630658	-3.03999059171766	4.97092175404709	-2.5716496620420823	
9	C44H79N2O7	[M - H2O + H]+	C44H77N2O6	0.0	49.233556584554464	49.233556584554464	0.0	22	0.5631261315630658	-3.03999059171766	4.97092175404709	-24654.87105742708	
10	C39H81NO9	[M + Na]+	C39H81NO9	0.0	48.78338602608162	48.78338602608162	0.0	21	0.5631261315630658	-3.03999059171766	4.97092175404709	4.389585537841725	
