rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.04375553863060502	-179.57920981504896	C22H36O3	[M - H2O + H]+	WCNCDVQMEQJFGH	InChI=1S/C22H36O3/c1-8-21(6,24)13-10-17-15(2)14-18(25-16(3)23)19-20(4,5)11-9-12-22(17,19)7/h8,17-19,24H,1-2,9-14H2,3-7H3	Spectrum_000664	CC(=O)OC1CC(=C)C(C2(C1C(CCC2)(C)C)C)CCC(C)(C=C)O	5.0999999	5226790;6710645;11957828;16758027;40522816;101401998	COCONUT:(CNP0321322);KNApSAcK:(22714);Natural Products:(UNPD113310 UNPD141372 UNPD136398 UNPD169711);PubChem:(5226790 6710645 11957828 16758027 40522816 101401998);PNC:(LTS0085970 LTS0241851 LTS0049307);SuperNatural:(SN00006646 SN00006645 SN00011601 SN00006647 SN00323408 SN00003370 SN00003369);ZINC bio:(ZINC03171785 ZINC03171786 ZINC03979073 ZINC03979074 ZINC03979075 ZINC05291831);additional;Training Set;PubMed	68723204178
2	1	N/A	-183.96894726618874	C22H36O3	[M - H2O + H]+	SETZEAYFPWFWIU	InChI=1S/C22H36O3/c1-7-9-17(24)10-11-18-15(2)14-19(25-16(3)23)20-21(4,5)12-8-13-22(18,20)6/h7,17-20,24H,1-2,8-14H2,3-6H3	null	CC(=O)OC1CC(=C)C(C2(C1C(CCC2)(C)C)C)CCC(CC=C)O	5.26606226	""	COCONUT:(CNP0268829);Natural Products:(UNPD148168);PNC:(LTS0115745 LTS0052940);SuperNatural:(SN00365336)	68722655232
3	1	N/A	-188.29940497088467	C22H36O3	[M - H2O + H]+	SRDCSTQQSUOKSR	InChI=1S/C22H36O3/c1-8-21(6,24)13-11-17-15(2)9-10-18-20(4,5)19(25-16(3)23)12-14-22(17,18)7/h8,17-19,24H,1-2,9-14H2,3-7H3	(+)-3.beta.-Acetoxymanool	CC(=O)OC1CCC2(C(C1(C)C)CCC(=C)C2CCC(C)(C=C)O)C	4.80000019	479910;21626668	COCONUT:(CNP0163853);Natural Products:(UNPD169104 UNPD31952);PubChem:(479910 21626668);PNC:(LTS0046693 LTS0198033);SuperNatural:(SN00329663 SN00238590);PubMed	68722655298
4	1	N/A	-206.4045208110178	C22H36O3	[M - H2O + H]+	ODZIXXROBXQYOH	InChI=1S/C22H36O3/c1-7-16(2)9-10-19-21(5)13-8-12-20(4,15-25-17(3)23)18(21)11-14-22(19,6)24/h7,9,18-19,24H,1,8,10-15H2,2-6H3	null	CC(=CCC1C2(CCCC(C2CCC1(C)O)(C)COC(=O)C)C)C=C	4.97106028	""	COCONUT:(CNP0107945);Natural Products:(UNPD39239);PNC:(LTS0232782 LTS0010147);SuperNatural:(SN00233581)	68722655232
5	1	N/A	-215.5626944053948	C22H36O3	[M - H2O + H]+	WHCFTASMFFLYLQ	InChI=1S/C22H36O3/c1-7-21(5,24)14-11-18-16(2)9-10-19-20(4,15-25-17(3)23)12-8-13-22(18,19)6/h7,18-19,24H,1-2,8-15H2,3-6H3	null	CC(=O)OCC1(CCCC2(C1CCC(=C)C2CCC(C)(C=C)O)C)C	4.9000001	101412320;102315791	COCONUT:(CNP0200156);Natural Products:(UNPD10138 UNPD158076 UNPD52242);PubChem:(101412320 102315791);PNC:(LTS0186601 LTS0100919);SuperNatural:(SN00335194 SN00395146 SN00367000)	68722655234
6	1	N/A	-273.0066540583991	C22H36O3	[M - H2O + H]+	BXFIQIHHUYQVJG	InChI=1S/C22H36O3/c1-15(14-17(3)23)8-10-18-16(2)9-11-19-21(18,4)12-7-13-22(19,5)20(24)25-6/h15,18-19H,2,7-14H2,1,3-6H3	Methyl 1,4a-dimethyl-6-methylene-5-(3-methyl-5-oxohexyl)decahydro-1-naphthalenecarboxylate	CC(CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C)CC(=O)C	5.19999981	578296;102239830	COCONUT:(CNP0154063);Natural Products:(UNPD22523 UNPD168122 UNPD56203);PubChem:(578296 102239830);PNC:(LTS0099187 LTS0264728);SuperNatural:(SN00239444 SN00334993 SN00282880)	68722655234
7	1	N/A	-291.9216067152011	C22H36O3	[M - H2O + H]+	ZLLSCHIRYLXIBT	InChI=1S/C22H36O3/c1-16(12-15-24-5)8-10-18-17(2)9-11-19-21(18,3)13-7-14-22(19,4)20(23)25-6/h12,18-19H,2,7-11,13-15H2,1,3-6H3	null	CC(=CCOC)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C	5.48528147	""	COCONUT:(CNP0298488);Natural Products:(UNPD54286);PNC:(LTS0186106);SuperNatural:(SN00354073)	68722655232
1	1	N/A	-189.64930517901647	C22H34O2	[M + H]+	RAXRINJGLHOGPS	InChI=1S/C22H34O2/c1-7-16(2)9-11-19-17(3)10-12-20-21(5,15-24-18(4)23)13-8-14-22(19,20)6/h7,9,19-20H,1,3,8,10-15H2,2,4-6H3	[(1S,4aR,5S,8aR)-1,4a-dimethyl-6-methylidene-5-[(2E)-3-methylpenta-2,4-dienyl]-3,4,5,7,8,8a-hexahydro-2H-naphthalen-1-yl]methyl acetate	CC(=CCC1C(=C)CCC2C1(CCCC2(C)COC(=O)C)C)C=C	6.4000001	23259968	COCONUT:(CNP0134099);PubChem:(23259968);PNC:(LTS0001755);SuperNatural:(SN00162414)	68722622466
2	1	N/A	-235.39996561321996	C22H34O2	[M + H]+	FURHYCBPWRCHKE	InChI=1S/C22H34O2/c1-8-15(2)9-11-19-16(3)10-12-20-21(5,6)13-18(24-17(4)23)14-22(19,20)7/h8-9,18-20H,1,3,10-14H2,2,4-7H3	null	CC(=CCC1C(=C)CCC2C1(CC(CC2(C)C)OC(=O)C)C)C=C	6.19999981	11024023	COCONUT:(CNP0197635);Natural Products:(UNPD85472);PubChem:(11024023);PNC:(LTS0115158 LTS0044040);SuperNatural:(SN00338003);PubMed	68722655298
3	1	N/A	-272.0854282159832	C22H34O2	[M + H]+	JDYQUVYFBYLQIM	InChI=1S/C22H34O2/c1-15(23)24-21(4,5)17-9-10-18-16(14-17)8-11-19-20(2,3)12-7-13-22(18,19)6/h8,14,18-19H,7,9-13H2,1-6H3	null	CC(=O)OC(C)(C)C1=CC2=CCC3C(CCCC3(C2CC1)C)(C)C	5.46304846	""	COCONUT:(CNP0147132);Natural Products:(UNPD184442);PNC:(LTS0085231 LTS0246703);SuperNatural:(SN00400594)	68722655232
