rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	N/A	-107.54736030109567	C20H32O4	[M - H2O + H]+	VBEKTMIFJPKWJA	InChI=1S/C20H32O4/c1-17(2,23)13-6-7-15-18(3)9-5-10-19(4,16(21)22)14(18)8-11-20(15,24)12-13/h12,14-15,23-24H,5-11H2,1-4H3,(H,21,22)	null	CC12CCCC(C1CCC3(C2CCC(=C3)C(C)(C)O)O)(C)C(=O)O	3.46364403	""	COCONUT:(CNP0216812);PNC:(LTS0161321 LTS0264135);Natural Products:(UNPD181355)	68721606656
2	1	N/A	-117.49128684995439	C20H32O4	[M - H2O + H]+	REMAFSUYXZQVFM	InChI=1S/C20H32O4/c1-17(2,23)20(24)9-6-14-13(11-20)15(22)10-16-18(3,12-21)7-5-8-19(14,16)4/h11,14,16,21,23-24H,5-10,12H2,1-4H3	null	CC1(CCCC2(C1CC(=O)C3=CC(CCC32)(C(C)(C)O)O)C)CO	1.79999995	101007988	COCONUT:(CNP0132498);Natural Products:(UNPD20275);PubChem:(101007988);PNC:(LTS0029803);SuperNatural:(SN00379005)	68722655234
3	1	N/A	-123.4504530575977	C20H32O4	[M - H2O + H]+	ZGBSZOWVGHOHGO	InChI=1S/C20H32O4/c1-12(2)20(24)9-6-14-13(11-20)15(21)10-16-18(14,3)7-5-8-19(16,4)17(22)23/h12-14,16,24H,5-11H2,1-4H3,(H,22,23)	null	CC(C)C1(CCC2C(C1)C(=O)CC3C2(CCCC3(C)C(=O)O)C)O	3.55527663	""	COCONUT:(CNP0265451);Natural Products:(UNPD38178);PNC:(LTS0263792 LTS0034433);SuperNatural:(SN00402013)	68722655232
4	1	N/A	-129.1359087508569	C20H32O4	[M - H2O + H]+	BGKHCLZFGPIKKU	InChI=1S/C20H32O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h12-18,21H,2-11H2,1H3,(H,23,24)	prostaglandin A1	CCCCCC(C=CC1C=CC(=O)C1CCCCCCC(=O)O)O	4.4000001	4952;26487;3246812;5280714;5281912;5283050;5353900;6327066;6473771;22796709;21446054;26202010;53378878;53390663;59124360;57903345;67559615;124524606;124525051;124304439;124426261	HMDB:(2236 2656);PNC:(LTS0085904 LTS0245862);SuperNatural:(SN00333131 SN00387912 SN00273137);ZINC bio:(ZINC04096507 ZINC04096508);additional;MeSH:(5281912);PubMed;NORMAN:(NS00015160);COCONUT:(CNP0177052 CNP0361147);Natural Products:(UNPD188452 UNPD47891 UNPD153822);PubChem:(4952 26487 3246812 5280714 5281912 5283050 5353900 6327066 6473771 22796709 21446054 26202010 53378878 53390663 59124360 57903345 67559615 124524606 124525051 124304439 124426261);CHEBI:(15545 92069 57398);PubChem class - bio and metabolites;KEGG:(C04685);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-1911)	68807354734
5	1	N/A	-132.02606016232716	C20H32O4	[M - H2O + H]+	HPQKNJHVWUWAOR	InChI=1S/C20H32O4/c1-13(12-17(21)22)6-8-15-14(2)7-9-16-19(15,3)10-5-11-20(16,4)18(23)24/h13,15-16H,2,5-12H2,1,3-4H3,(H,21,22)(H,23,24)	Pinifolic Acid	CC(CCC1C(=C)CCC2C1(CCCC2(C)C(=O)O)C)CC(=O)O	4.69999981	578152;6453826;12314310;12314311;10337102;23928100;38347252;38347259;101166168;101609205;101289587;101289589;101306760;102364042;124708129;124820803;124820804;124408140;133554285	COCONUT:(CNP0025463 CNP0277846);KNApSAcK:(23291);Natural Products:(UNPD17644 UNPD171898 UNPD30762 UNPD102548 UNPD227872 UNPD25450 UNPD109000 UNPD10184 UNPD112222 UNPD158518 UNPD180619);PubChem:(578152 6453826 12314310 12314311 10337102 23928100 38347252 38347259 101166168 101609205 101289587 101289589 101306760 102364042 124708129 124820803 124820804 124408140 133554285);PNC:(LTS0177126 LTS0249248);SuperNatural:(SN00284515 SN00369707 SN00245116 SN00381164 SN00028503 SN00289574 SN00389740 SN00237538 SN00391666 SN00289202 SN00028502 SN00371856);ZINC bio:(ZINC31155912 ZINC31155917);additional;MeSH:(578152 6453826 12314310 38347252 133554285);Training Set;PubMed	68723204182
6	1	N/A	-157.1266540677628	C20H32O4	[M - H2O + H]+	YBHMPNRDOVPQIN	InChI=1S/C20H32O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h12,14,17,21H,2-11,13,15H2,1H3,(H,23,24)	prostaglandin B1	CCCCCC(C=CC1=C(C(=O)CC1)CCCCCCC(=O)O)O	4.0	4954;114675;5280388;5353902;24867251;40468118;40468120;91097843	HMDB:(2982);PNC:(LTS0172609);SuperNatural:(SN00398537 SN00372683 SN00234182);ZINC bio:(ZINC03874778 ZINC03874780);additional;MeSH:(5280388);PubMed;NORMAN:(NS00014908);COCONUT:(CNP0241053);Natural Products:(UNPD14362 UNPD71081 UNPD160183);PubChem:(4954 114675 5280388 5353902 24867251 40468118 40468120 91097843);CHEBI:(133393 27624);PubChem class - bio and metabolites;KEGG:(C00959);PubChem class - safety and toxic;Training Set	68807352686
1	1	0.4081669483533614	-72.36006881321173	C20H30O3	[M + H]+	DYNISIGUMYFVJW	InChI=1S/C20H30O3/c1-12(2)14-10-13-6-7-17-19(3,15(13)11-16(14)21)8-5-9-20(17,4)18(22)23/h6,10,12,15-17,21H,5,7-9,11H2,1-4H3,(H,22,23)	6-hydroxy-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid	CC(C)C1=CC2=CCC3C(C2CC1O)(CCCC3(C)C(=O)O)C	3.5	288368;21128900;51136293;52325853;66825318;90471905;129316935;133613118	COCONUT:(CNP0061802 CNP0200236);HMDB:(39716);Natural Products:(UNPD190779 UNPD209939 UNPD25206);PubChem:(288368 21128900 51136293 52325853 66825318 90471905 129316935 133613118);PNC:(LTS0084143 LTS0255264);SuperNatural:(SN00036316 SN00039312 SN00036317 SN00227550 SN00352721 SN00039311);ZINC bio:(ZINC05104581 ZINC05104582 ZINC05104583 ZINC05104584 ZINC49601327 ZINC49601330);additional;PubChem class - bio and metabolites;Training Set;KEGG Mine	77329915914
2	1	N/A	-92.9031136759579	C20H30O3	[M + H]+	HZIPQMQRBXJVNO	InChI=1S/C20H30O3/c1-13(12-18(22)23)6-8-15-14(2)7-9-16-19(3,4)17(21)10-11-20(15,16)5/h12,15-16H,2,6-11H2,1,3-5H3,(H,22,23)	3-Oxoanticopalic Acid	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCC(=O)C2(C)C)C	4.4000001	13858184	COCONUT:(CNP0280590);Natural Products:(UNPD52783);PubChem:(13858184);PNC:(LTS0104696 LTS0095904);SuperNatural:(SN00324166);PubMed	68722655298
3	1	N/A	-94.66252321495223	C20H30O3	[M + H]+	SNMGJTHIWYSOSX	InChI=1S/C20H30O3/c1-14(12-18(22)23)6-8-16-15(2)7-9-17-19(3,13-21)10-5-11-20(16,17)4/h12-13,16-17H,2,5-11H2,1,3-4H3,(H,22,23)	null	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCCC2(C)C=O)C	4.69999981	101297697	COCONUT:(CNP0237166);KNApSAcK:(22709);Natural Products:(UNPD112087 UNPD211495);PubChem:(101297697);PNC:(LTS0100294);SuperNatural:(SN00382125)	68722655250
4	1	N/A	-102.39712614108305	C20H30O3	[M + H]+	KLZNBERWPKTMAP	InChI=1S/C20H30O3/c1-5-18(2)9-8-15-13(10-18)6-7-16-19(15,3)11-14(21)12-20(16,4)17(22)23/h5,10,14-16,21H,1,6-9,11-12H2,2-4H3,(H,22,23)	null	CC1(CCC2C(=C1)CCC3C2(CC(CC3(C)C(=O)O)O)C)C=C	4.19999981	46909883	COCONUT:(CNP0102882 CNP0226253);PubChem:(46909883);PNC:(LTS0081430);SuperNatural:(SN00163185);KEGG Mine	77312557058
