rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C20H28O4	[M + H]+	C20H28O4	0.9999999999999999	80.08383498715747	80.08383498715747	0.0	29	0.7936040650078638	0.792817871282864	4.381712488355859	0.6717817919761624	
1	C20H30O5	[M - H2O + H]+	C20H28O4	0.9999999999999999	80.08383498715747	80.08383498715747	0.0	30	0.7936040650078638	0.792817871282864	4.381712488355859	-54051.62814149831	
2	C18H28N3O4	[M - H2O + H]+	C18H26N3O3	0.0	60.730588452887716	60.730588452887716	0.0	31	0.7986046699197482	0.11417680454943287	4.143799555015905	-54047.598553334865	
2	C18H26N3O3	[M + H]+	C18H26N3O3	0.0	60.730588452887716	60.730588452887716	0.0	30	0.7986046699197482	0.11417680454943287	4.143799555015905	4.701369955589086	
3	C23H26NO	[M + H]+	C23H26NO	0.0	56.186470671594066	56.186470671594066	0.0	25	0.7496068072750737	0.047893955398374044	5.1103850762018626	-7.371512480599846	
3	C23H28NO2	[M - H2O + H]+	C23H26NO	0.0	56.186470671594066	56.186470671594066	0.0	26	0.7496068072750737	0.047893955398374044	5.1103850762018626	-54059.67143577105	
4	C18H30O4	[M + Na]+	C18H30O4	0.0	55.08228068726036	55.08228068726036	0.0	25	0.7527926765334516	0.047893955398374044	3.90588662167595	7.8915981375421405	
5	C15H32N3O4S	[M - H2O + H]+	C15H30N3O3S	0.0	54.2429392130625	54.2429392130625	0.0	31	0.7986046699197482	-0.15440326536780644	4.143799555015905	-54057.71579423919	
5	C15H30N3O3S	[M + H]+	C15H30N3O3S	0.0	54.2429392130625	54.2429392130625	0.0	30	0.7986046699197482	-0.15440326536780644	4.143799555015905	-5.415870948912848	
6	C13H32N3O3S	[M + Na]+	C13H32N3O3S	0.0	54.11304618092702	54.11304618092702	0.0	30	0.7986046699197482	0.11417680454943287	3.28669177217855	1.8039453964825347	
7	C17H34O5S	[M - H2O + H]+	C17H32O4S	0.0	53.26531381367665	53.26531381367665	0.0	25	0.730168972053071	-0.3622007687832267	3.1993543875481842	-54061.74538240297	
7	C17H32O4S	[M + H]+	C17H32O4S	0.0	53.26531381367665	53.26531381367665	0.0	24	0.730168972053071	-0.3622007687832267	3.1993543875481842	-9.445459112696367	
8	C21H28NO	[M + Na]+	C21H28NO	0.0	50.83495745494021	50.83495745494021	0.0	26	0.7476710892446667	0.11417680454943287	2.4769243093519173	-0.15169613503386797	
9	C18H32NO2	[M + K]+	C18H32NO2	0.0	50.3801350818887	50.3801350818887	0.0	26	0.7476710892446667	0.11417680454943287	2.4769243093519173	-0.6083142075493314	
