rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.344739901873468	-56.19876310648165	C20H34O	[M - H2O + H]+	NERNKRPBSOBEHC	InChI=1S/C20H34O/c1-15(11-14-21)7-9-17-16(2)8-10-18-19(3,4)12-6-13-20(17,18)5/h11,17-18,21H,2,6-10,12-14H2,1,3-5H3	(-)-copalol	CC(=CCO)CCC1C(=C)CCC2C1(CCCC2(C)C)C	6.0999999	637851;10517644;14380070;10401988;10469492;21628838;75528899;71405085;91697686;101211087;101717850;132103398;131860474	COCONUT:(CNP0289698);KNApSAcK:(22760);Natural Products:(UNPD109655 UNPD134872 UNPD88349 UNPD213274);PubChem:(637851 10517644 14380070 10401988 10469492 21628838 75528899 71405085 91697686 101211087 101717850 132103398 131860474);PNC:(LTS0139853 LTS0225097);SuperNatural:(SN00311539 SN00315889 SN00331897);CHEBI:(76950 76952 76943);additional;MeSH:(637851 91697686);PubMed;Biocyc:(CPD-14027 CPD-14033 CPD-14030);KEGG Mine	77313116278
2	1	N/A	-88.41600689763165	C20H34O	[M - H2O + H]+	CECREIRZLPLYDM	InChI=1S/C20H34O/c1-7-19(5,21)14-11-16-15(2)9-10-17-18(3,4)12-8-13-20(16,17)6/h7,16-17,21H,1-2,8-14H2,3-6H3	Manool	CC1(CCCC2(C1CCC(=C)C2CCC(C)(C=C)O)C)C	5.69999981	92131;636732;238792;3034394;6432584;9860812;12312731;12312732;12312733;12312735;12312736;10891602;11022634;22297354;46229739;90657688;89111444;92235746;101696494;124577838;129317223;134235579	COCONUT:(CNP0105709);KNApSAcK:(22712);Natural Products:(UNPD48927 UNPD67080 UNPD137459 UNPD169614 UNPD48094 UNPD48138);PubChem:(92131 636732 238792 3034394 6432584 9860812 12312731 12312732 12312733 12312735 12312736 10891602 11022634 22297354 46229739 90657688 89111444 92235746 101696494 124577838 129317223 134235579);PNC:(LTS0151501 LTS0240363 LTS0026856);SuperNatural:(SN00321348 SN00285753 SN00320937 SN00360606 SN00350258 SN00366346);CHEBI:(76945 76954 76948 76944);MeSH:(92131 238792 3034394 6432584 10891602 12312731);PubChem class - safety and toxic;PubMed;Biocyc:(CPD-14035 CPD-14032 CPD-14034 CPD-14029 CPD-14031 CPD-14028)	68789766262
3	1	N/A	-90.87760809313085	C20H34O	[M - H2O + H]+	FUOYNUQYIXMTMU	InChI=1S/C20H34O/c1-7-15(2)9-10-17-19(5)13-8-12-18(3,4)16(19)11-14-20(17,6)21/h7,9-10,16-17,21H,8,11-14H2,1-6H3	(2R,8aS)-2,5,5,8a-tetramethyl-1-[(1Z,3E)-3-methylpenta-1,3-dienyl]-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol	CC=C(C)C=CC1C2(CCCC(C2CCC1(C)O)(C)C)C	6.19999981	5320045;14390078;14390076;91747188;91751201;101179813	COCONUT:(CNP0179285);KNApSAcK:(22763);Natural Products:(UNPD226731 UNPD4458 UNPD71346 UNPD190828 UNPD162866 UNPD114718);PubChem:(5320045 14390078 14390076 91747188 91751201 101179813);PNC:(LTS0074040 LTS0264724 LTS0268972);SuperNatural:(SN00310773 SN00160510 SN00389509 SN00295153 SN00335844)	68722655250
4	1	N/A	-91.51157086417938	C20H34O	[M - H2O + H]+	DXZWZHDIHFURDA	InChI=1S/C20H34O/c1-7-19(5,14-21)13-16-15(2)9-10-17-18(3,4)11-8-12-20(16,17)6/h7,16-17,21H,1-2,8-14H2,3-6H3	null	CC1(CCCC2(C1CCC(=C)C2CC(C)(CO)C=C)C)C	5.48442364	""	COCONUT:(CNP0151170);Natural Products:(UNPD30260);PNC:(LTS0196158 LTS0182096);SuperNatural:(SN00294044)	68722655232
5	1	N/A	-97.83670586202187	C20H34O	[M - H2O + H]+	ZAZVCYBIABTSJR	InChI=1S/C20H34O/c1-7-15(2)9-10-17-19(5)13-8-12-18(3,4)16(19)11-14-20(17,6)21/h7,9,16-17,21H,1,8,10-14H2,2-6H3	cis-Abienol	CC(=CCC1C2(CCCC(C2CCC1(C)O)(C)C)C)C=C	6.4000001	643003;643723;4565052;6151409;6385618;6708596;12305872;11140835;16725072;57066492;56999042;88479484;91747944;91747946;91753529;101920136	COCONUT:(CNP0314056);KNApSAcK:(875);Natural Products:(UNPD185361 UNPD124574 UNPD92730 UNPD34694 UNPD9283 UNPD58524 UNPD70428 UNPD160381 UNPD182958 UNPD107072);PubChem:(643003 643723 4565052 6151409 6385618 6708596 12305872 11140835 16725072 57066492 56999042 88479484 91747944 91747946 91753529 101920136);PNC:(LTS0267163 LTS0217834 LTS0045338);SuperNatural:(SN00250876 SN00399329 SN00316118 SN00390593 SN00380135 SN00290888 SN00352438 SN00318567);CHEBI:(68624);MeSH:(643003 643723 6151409 91747946 91753529);KEGG:(C20481);Plantcyc:(CPD-14803);PubMed;Biocyc:(CPD-14803)	68722788726
6	1	N/A	-110.40000648623875	C20H34O	[M - H2O + H]+	IQDXAJNQKSIPGB	InChI=1S/C20H34O/c1-7-20(6,21)16-10-15-19(5)14-9-13-18(4)12-8-11-17(2)3/h7,11,13,15,21H,1,8-10,12,14,16H2,2-6H3	Geranyllinalool	CC(=CCCC(=CCCC(=CCCC(C)(C=C)O)C)C)C	6.4000001	92862;5365872;13118571;11335274;45357805;92468428;92854967;92854968;118981456;131751662	HMDB:(35083);PubChem class - food;PNC:(LTS0208423 LTS0014757);SuperNatural:(SN00357795 SN00289228);ZINC bio:(ZINC14655008);MeSH:(5365872);Plantcyc:(CPD-8848);PubMed;NORMAN:(NS00012501);COCONUT:(CNP0196244);KNApSAcK:(22109);Natural Products:(UNPD127059 UNPD114918);PubChem:(92862 5365872 13118571 11335274 45357805 92468428 92854967 92854968 118981456 131751662);CHEBI:(74299);PubChem class - bio and metabolites;KEGG:(C20681);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-8848)	68941179262
7	1	N/A	-119.3500681639735	C20H34O	[M - H2O + H]+	JTWQQJDENGGSBJ	InChI=1S/C20H34O/c1-7-15(2)9-10-17-19(5)13-8-12-18(3,4)16(19)11-14-20(17,6)21/h7,16-17,21H,1-2,8-14H2,3-6H3	Labdane F2	CC1(CCCC2(C1CCC(C2CCC(=C)C=C)(C)O)C)C	6.5	1629204;1768540;3080960;7002057;7091696;5168698;7213631;6565031;11220007;11890428;21579290;44655376;91747195;101355570;100993715	COCONUT:(CNP0254395);HMDB:(35276);KNApSAcK:(22765);Natural Products:(UNPD133566 UNPD47193 UNPD70130 UNPD53647 UNPD144816 UNPD14185);PubChem:(1629204 1768540 3080960 7002057 7091696 5168698 7213631 6565031 11220007 11890428 21579290 44655376 91747195 101355570 100993715);PNC:(LTS0247820 LTS0246057);SuperNatural:(SN00247611 SN00387945 SN00024211 SN00006817 SN00011158 SN00275897 SN00024212 SN00296497);ZINC bio:(ZINC04073913 ZINC04369782 ZINC15955448 ZINC15955449);PubChem class - bio and metabolites;MeSH:(3080960 11220007);PubMed;KEGG Mine	77329375326
8	1	N/A	-130.48590541295582	C20H34O	[M - H2O + H]+	YAPXSYXFLHDPCK	InChI=1S/C20H34O/c1-16(2)19-12-11-18(4)9-6-8-17(3)10-7-14-20(5,21)15-13-19/h9-10,13,15-16,19,21H,6-8,11-12,14H2,1-5H3	Thunbergol	CC1=CCCC(C=CC(CCC(=CCC1)C)C(C)C)(C)O	5.0999999	5317085;5363523;10859245;12444341;12444344;12444346;12444348;10946210;22524729;23728850;24721276;24893758;67321223;101592066;102143103;102250690;102364574;122706255;131876682;138404431	COCONUT:(CNP0184069);Natural Products:(UNPD93383 UNPD112616 UNPD224654 UNPD101339 UNPD193230 UNPD17803 UNPD163576 UNPD169662);PubChem:(5317085 5363523 10859245 12444341 12444344 12444346 12444348 10946210 22524729 23728850 24721276 24893758 67321223 101592066 102143103 102250690 102364574 122706255 131876682 138404431);PNC:(LTS0047373 LTS0049105 LTS0036592);SuperNatural:(SN00396248 SN00381438 SN00321516 SN00303300 SN00160194 SN00328651 SN00241750 SN00386224);PubMed;Biocyc:(CPD-18854 CPD-18855)	68722657346
9	1	N/A	-133.28204524425712	C20H34O	[M - H2O + H]+	SYWIUZCNOUKNSM	InChI=1S/C20H34O/c1-17(2)11-9-14-19(5)13-7-8-15-20(6,21)16-10-12-18(3)4/h8,11-13,15,21H,7,9-10,14,16H2,1-6H3	ACMC-20aktp	CC(=CCCC(=CCC=CC(C)(CCC=C(C)C)O)C)C	6.4000001	71317439;98007979;91927726;129661573;129821401;132471997	PubChem:(71317439 98007979 91927726 129661573 129821401 132471997);PNC:(LTS0092683)	68719476738
10	1	N/A	-156.3647461808257	C20H34O	[M - H2O + H]+	WKQKVJFYCDGSFS	InChI=1S/C20H34O/c1-16(2)19-12-11-18(4)9-6-8-17(3)10-7-14-20(5,21)15-13-19/h8-9,11-12,16,19,21H,6-7,10,13-15H2,1-5H3	5,7,10-Cyclotetradecatrien-1-ol, 1,7,11-trimethyl-4-(1-methylethyl)-	CC1=CCC=C(C=CC(CCC(CCC1)(C)O)C(C)C)C	5.19999981	23265569;23728834;23728860;101670433	COCONUT:(CNP0315560);Natural Products:(UNPD74800);PubChem:(23265569 23728834 23728860 101670433);PNC:(LTS0146588 LTS0270087);SuperNatural:(SN00331874)	68722655234
