rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C33H35N3O23	[M + H]+	C33H35N3O23	0.292964824120603	29.92450030727224	29.92450030727224	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	2.16636884158084	
1	C33H37N3O24	[M - H2O + H]+	C33H35N3O23	0.292964824120603	29.92450030727224	29.92450030727224	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21383.60220900859	
2	C40H31N3O18	[M + H]+	C40H31N3O18	0.2447236180904523	29.55533638417716	29.55533638417716	0.0	13	0.5345167652859959	5.5309099673995865	6.219507506301662	9.140247618708546	
2	C40H33N3O19	[M - H2O + H]+	C40H31N3O18	0.2447236180904523	29.55533638417716	29.55533638417716	0.0	14	0.5345167652859959	5.5309099673995865	6.219507506301662	-21376.628330231462	
3	C51H27N3O10	[M + H]+	C51H27N3O10	0.08040201005025127	28.606679037133652	28.606679037133652	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	-2.0010346308218074	
3	C51H29N3O11	[M - H2O + H]+	C51H27N3O10	0.08040201005025127	28.606679037133652	28.606679037133652	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21387.769612481123	
4	C39H43N3O8S5	[M + H]+	C39H43N3O8S5	0.05979899497487437	28.30759791637719	28.30759791637719	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	3.0735957083578156	
4	C39H45N3O9S5	[M - H2O + H]+	C39H43N3O8S5	0.05979899497487437	28.30759791637719	28.30759791637719	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21382.69498214181	
5	C34H41N3O19S2	[M - H2O + H]+	C34H39N3O18S2	0.05577889447236182	28.22214999900487	28.22214999900487	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21384.6340940173	
5	C34H39N3O18S2	[M + H]+	C34H39N3O18S2	0.05577889447236182	28.22214999900487	28.22214999900487	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	1.1344838328660887	
6	C38H39N3O13S3	[M + H]+	C38H39N3O13S3	0.05527638190954775	28.2146081732746	28.2146081732746	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	4.105480717207558	
6	C38H41N3O14S3	[M - H2O + H]+	C38H39N3O13S3	0.05527638190954775	28.2146081732746	28.2146081732746	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21381.663097133096	
7	C35H45N3O14S4	[M - H2O + H]+	C35H43N3O13S4	0.051758793969849254	28.11501155220084	28.11501155220084	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21385.665979026016	
7	C35H43N3O13S4	[M + H]+	C35H43N3O13S4	0.051758793969849254	28.11501155220084	28.11501155220084	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	0.10259882415133763	
8	C37H37N3O19S	[M - H2O + H]+	C37H35N3O18S	0.049246231155778905	28.06161589244838	28.06161589244838	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21380.631212124517	
8	C37H35N3O18S	[M + H]+	C37H35N3O18S	0.049246231155778905	28.06161589244838	28.06161589244838	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	5.137365725787318	
9	C44H33N3O16	[M - H2O + H]+	C44H31N3O15	0.04623115577889447	28.079189948123386	28.079189948123386	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21394.74349125812	
9	C44H31N3O15	[M + H]+	C44H31N3O15	0.04623115577889447	28.079189948123386	28.079189948123386	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	-8.974913407949515	
10	C36H49N3O9S6	[M - H2O + H]+	C36H47N3O8S6	0.04422110552763819	27.992919729808946	27.992919729808946	0.0	12	0.4562787639710717	3.9804458677283328	5.5309099673995865	-21386.697864034733	
10	C36H47N3O8S6	[M + H]+	C36H47N3O8S6	0.04422110552763819	27.992919729808946	27.992919729808946	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	-0.9292861845634135	
11	C24H41N3O28	[M + Na]+	C24H41N3O28	0.012562814070351761	26.607289331504305	26.607289331504305	0.0	11	0.4562787639710717	3.9804458677283328	5.5309099673995865	-1.9509927889383996	
12	C46H33N3O11	[M + K]+	C46H33N3O11	0.0	20.418418219755416	20.418418219755416	0.0	10	0.38658777120315574	-0.6698402408854569	5.604173107829275	0.6748217771171409	
