rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C23H26N2O12	[M + Na]+	C23H26N2O12	0.9597989949748744	121.2787425241769	121.2787425241769	0.0	37	0.6964571835499378	-0.3515718964037961	2.7966807872310913	-4.576431455715617	
2	C21H28N3O13S	[M - H2O + H]+	C21H26N3O12S	0.01155778894472362	116.18133220815818	116.18133220815818	0.0	39	0.7258322948192986	-3.0334789005762772	5.040827888242081	-33030.80942254801	
2	C21H26N3O12S	[M + H]+	C21H26N3O12S	0.01155778894472362	116.18133220815818	116.18133220815818	0.0	38	0.7258322948192986	-3.0334789005762772	5.040827888242081	7.896156537417064	
3	C27H26N2O7S	[M + Na]+	C27H26N2O7S	0.006030150753768845	116.35875017142811	116.35875017142811	0.0	39	0.7340217197792416	-0.23382273923630104	2.7966807872310913	0.013438250013960968	
4	C24H30N2O8S	[M + K]+	C24H30N2O8S	0.004522613065326634	115.23596020272095	115.23596020272095	0.0	36	0.6980594623464482	-1.064229623527816	4.364612509455917	-0.2656631034339757	
5	C24H30N2O7S2	[M + Na]+	C24H30N2O7S2	0.0025125628140703522	114.75449786740526	114.75449786740526	0.0	36	0.6930745949795266	-0.6937717289505827	2.7405247693134083	-6.170582485394709	
6	C19H34N3O7S4	[M + H]+	C19H34N3O7S4	0.0015075376884422112	114.07585639067877	114.07585639067877	0.0	38	0.7231618301584476	-3.4628381584380694	5.040827888242081	0.11798477274639874	
6	C19H36N3O8S4	[M - H2O + H]+	C19H34N3O7S4	0.0015075376884422112	114.07585639067877	114.07585639067877	0.0	39	0.7231618301584476	-3.4628381584380694	5.040827888242081	-33038.587594312885	
7	C18H30N3O12S2	[M + H]+	C18H30N3O12S2	0.0010050251256281408	113.78455709129868	113.78455709129868	0.0	39	0.7390065871461635	-3.8669758308137956	5.735644646279949	1.7121358020083948	
7	C18H32N3O13S2	[M - H2O + H]+	C18H30N3O12S2	0.0010050251256281408	113.78455709129868	113.78455709129868	0.0	40	0.7390065871461635	-3.8669758308137956	5.735644646279949	-33036.99344328341	
8	C17H30O18	[M + Na]+	C17H30O18	0.0010050251256281408	112.70083789216092	112.70083789216092	0.0	32	0.6503471604059107	-0.001362666022145546	2.5528363880005402	5.2562687893832365	
9	C30H22N2O7	[M + Na]+	C30H22N2O7	5.025125628140704E-4	113.34375916986882	113.34375916986882	0.0	38	0.721025458429767	1.3072938402553762	3.4281013130738174	6.197458985422631	
10	C25H24N2O12	[M + H]+	C25H24N2O12	0.0	112.069188780507	112.069188780507	0.0	34	0.6727790635570589	-0.30100879563432414	5.426598663184373	-8.989442315945059	
10	C25H26N2O13	[M - H2O + H]+	C25H24N2O12	0.0	112.069188780507	112.069188780507	0.0	35	0.6727790635570589	-0.30100879563432414	5.426598663184373	-33047.69502140136	
