rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	N/A	-126.9634930160264	C20H30O	[M + H]+	JKBKXKTXDKYEOR	InChI=1S/C20H30O/c1-5-18(2)12-9-16-15(13-18)7-8-17-19(3,14-21)10-6-11-20(16,17)4/h5,13-14,16-17H,1,6-12H2,2-4H3	Podocarp-8(14)-en-15-al, 13.alpha.-methyl-13-vinyl-	CC1(CCC2C(=C1)CCC3C2(CCCC3(C)C=O)C)C=C	5.5	620819;12304198;12304199;101618873	COCONUT:(CNP0253970);KNApSAcK:(31284);Natural Products:(UNPD130397 UNPD31885 UNPD50591 UNPD75752 UNPD151952 UNPD109499);PubChem:(620819 12304198 12304199 101618873);PNC:(LTS0070017 LTS0203694);SuperNatural:(SN00355239 SN00293674 SN00227557 SN00362921 SN00253973 SN00317198)	68722655250
2	1	N/A	-133.27724599972322	C20H30O	[M + H]+	VCUHLFQRJCWTIG	InChI=1S/C20H30O/c1-14-6-8-17-16(12-15(14)2)7-9-18-19(3,13-21)10-5-11-20(17,18)4/h6,12-13,15,17-18H,5,7-11H2,1-4H3	null	CC1C=C2CCC3C(CCCC3(C2CC=C1C)C)(C)C=O	5.29495668	""	COCONUT:(CNP0366815);Natural Products:(UNPD138795 UNPD33685);PNC:(LTS0222373 LTS0059979);SuperNatural:(SN00314741 SN00398443)	68722655232
3	1	N/A	-144.61370451650674	C20H30O	[M + H]+	CQHXWPMUHGVWES	InChI=1S/C20H30O/c1-14(2)15-6-8-17-16(12-15)7-9-18-19(3,13-21)10-5-11-20(17,18)4/h7,9,12-14,16-18H,5-6,8,10-11H2,1-4H3	null	CC(C)C1=CC2C=CC3C(CCCC3(C2CC1)C)(C)C=O	5.17625618	""	COCONUT:(CNP0289132);PNC:(LTS0135604 LTS0148061);Natural Products:(UNPD56258)	68721606656
4	1	N/A	-146.14536435751216	C20H30O	[M + H]+	JPCTZWFFRZZTMM	InChI=1S/C20H30O/c1-14(2)15-6-8-17-16(12-15)7-9-18-19(3,13-21)10-5-11-20(17,18)4/h12-13,17-18H,5-11H2,1-4H3	Neoabietal	CC(=C1CCC2C(=C1)CCC3C2(CCCC3(C)C=O)C)C	5.0	443477;12313161;25202129;90753614	PubChem:(443477 12313161 25202129 90753614);PNC:(LTS0092510);CHEBI:(29652);PubChem class - bio and metabolites;KEGG:(C11885);Plantcyc:(CPD-8711);Biocyc:(CPD-8711)	68736387362
5	1	N/A	-153.00047740312655	C20H30O	[M + H]+	NLLZQKHFTCHPED	InChI=1S/C20H30O/c1-5-18(2)12-9-16-15(13-18)7-8-17-19(3,14-21)10-6-11-20(16,17)4/h5,7,14,16-17H,1,6,8-13H2,2-4H3	isopimaral	CC1(CCC2C(=CCC3C2(CCCC3(C)C=O)C)C1)C=C	5.19999981	12311182;12311183;25202521;56927944;91746933	COCONUT:(CNP0133185);Natural Products:(UNPD60661 UNPD140276 UNPD52190 UNPD123207 UNPD129031);PubChem:(12311182 12311183 25202521 56927944 91746933);PNC:(LTS0094269 LTS0053605 LTS0228062);SuperNatural:(SN00385685 SN00267062 SN00275488 SN00398785 SN00329980);CHEBI:(63658 52485);PubChem class - bio and metabolites;KEGG:(C18222 C20148);Plantcyc:(CPD-13922 CPD-8728);PubMed;Biocyc:(CPD-8728 CPD-13922)	68739565922
6	1	N/A	-158.33727133832124	C20H30O	[M + H]+	MDWQSNIQXHNTCK	InChI=1S/C20H30O/c1-14(2)15-6-8-17-16(12-15)7-9-18-19(3,13-21)10-5-11-20(17,18)4/h12-14,18H,5-11H2,1-4H3	palustradienal	CC(C)C1=CC2=C(CC1)C3(CCCC(C3CC2)(C)C=O)C	4.4000001	14241162;14241163;25203072	COCONUT:(CNP0152738);HMDB:(38709);Natural Products:(UNPD60667 UNPD17900 UNPD44525 UNPD185364);PubChem:(14241162 14241163 25203072);PNC:(LTS0051484 LTS0219557 LTS0114300);SuperNatural:(SN00373424 SN00323370 SN00227372 SN00239061);CHEBI:(81595);PubChem class - bio and metabolites;KEGG:(C18220);Plantcyc:(CPD-8716)	68739563818
7	1	N/A	-163.0123683597492	C20H30O	[M + H]+	HOFSYSONRIGEAC	InChI=1S/C20H30O/c1-14(2)15-6-8-17-16(12-15)7-9-18-19(3,13-21)10-5-11-20(17,18)4/h7,12-14,17-18H,5-6,8-11H2,1-4H3	Abietal	CC(C)C1=CC2=CCC3C(CCCC3(C2CC1)C)(C)C=O	4.69999981	527027;443479;6427962;18666972;57081213;91747916;101630384	COCONUT:(CNP0255014);HMDB:(34735);Natural Products:(UNPD166613 UNPD78344 UNPD76244 UNPD113327 UNPD166098);PubChem:(527027 443479 6427962 18666972 57081213 91747916 101630384);PNC:(LTS0002029);SuperNatural:(SN00230713 SN00226449 SN00318309 SN00387052);CHEBI:(29509);PubChem class - bio and metabolites;KEGG:(C11887);Plantcyc:(CPD-8693);PubMed;Biocyc:(CPD-8693)	68739565930
8	1	N/A	-171.66696121879468	C20H30O	[M + H]+	WSKGRAGZAQRSED	InChI=1S/C20H30O/c1-14(2)15-6-8-17-16(12-15)7-9-18-19(3,13-21)10-5-11-20(17,18)4/h6,8,12,14,18,21H,5,7,9-11,13H2,1-4H3	Dehydroabietol	CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)CO)C	5.69999981	510088;107171;220336;6432391;10708522;15586717;15586718;11277635;10469262;67515799;92202571;124355342;124389765;131704771	PNC:(LTS0177371 LTS0000316);SuperNatural:(SN00318310 SN00316595 SN00304812 SN00389721);ZINC bio:(ZINC03618268 ZINC03618271 ZINC04403819 ZINC05761646);MeSH:(107171 6432391 15586717 15586718);Plantcyc:(CPD-7251 CPD-8722);PubMed;NORMAN:(NS00006745);COCONUT:(CNP0146610);KNApSAcK:(34167);Natural Products:(UNPD188203 UNPD193098 UNPD41908 UNPD197188 UNPD184954);PubChem:(510088 107171 220336 6432391 10708522 15586717 15586718 11277635 10469262 67515799 92202571 124355342 124389765 131704771);CHEBI:(52486);PubChem class - bio and metabolites;Biocyc:(CPD-8722);KEGG Mine	77329770614
9	1	N/A	-215.78321077878195	C20H30O	[M + H]+	JMYBTVXXLMTVKS	InChI=1S/C20H30O/c1-13(2)14-7-8-16-15(11-14)17(21)12-18-19(3,4)9-6-10-20(16,18)5/h7-8,11,13,17-18,21H,6,9-10,12H2,1-5H3	(4aS,9S)-1,1,4a-trimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthren-9-ol	CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2O)(C)C)C	5.80000019	11426198;21632830;21764434	COCONUT:(CNP0174058);Natural Products:(UNPD45305 UNPD85581);PubChem:(11426198 21632830 21764434);PNC:(LTS0149356);SuperNatural:(SN00354219 SN00318476);PubMed	68722655298
10	1	N/A	-230.85689778193608	C20H30O	[M + H]+	CUFRQYVSJJHEKT	InChI=1S/C20H30O/c1-14-7-8-18-19(3,4)10-6-11-20(18,5)16(14)13-17-15(2)9-12-21-17/h9,12,16,18H,1,6-8,10-11,13H2,2-5H3	2-[[(1S,4aS,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]methyl]-3-methylfuran	CC1=C(OC=C1)CC2C(=C)CCC3C2(CCCC3(C)C)C	6.19999981	14658824	COCONUT:(CNP0190864);KNApSAcK:(22308);Natural Products:(UNPD51455 UNPD115502);PubChem:(14658824);PNC:(LTS0127038);SuperNatural:(SN00278761 SN00403143)	68722655250
1	1	0.3834234310536944	-82.3471292530327	C20H32O2	[M - H2O + H]+	YZXBAPSDXZZRGB	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)	arachidonate	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O	6.30000019	231;444899;3037205;3246804;5312542;5460265;5462110;5462112;12083498;12096305;12111897;12183869;12358407;12358409;12358410;12358414;11507808;11551300;10957715;11580377;12990988;11822939;10380404;21872858;25113199;46844359;54536134;54536135;54536136;57238753;53394032;71311075;71313480;87131823;87549807;87196993;87883733;92449654;101108909;101200222;101200224;101342437;101342438;101342439;101342440;101351323;101826831;119077476;119080458;122651992;122652008;122652036;122652077;129726155;129893333;134689008;131953177	HMDB:(1043 60102);PNC:(LTS0241153);SuperNatural:(SN00225335 SN00011183 SN00035151 SN00314262 SN00158090 SN00228657);ZINC bio:(ZINC04474696 ZINC13507096 ZINC13507098 ZINC13507099 ZINC64219879);additional;MeSH:(444899);Plantcyc:(ARACHIDONIC_ACID);PubMed;NORMAN:(NS00013367);COCONUT:(CNP0083958 CNP0117763);KNApSAcK:(388);Natural Products:(UNPD84138 UNPD128376 UNPD228666 UNPD1153);PubChem:(231 444899 3037205 3246804 5312542 5460265 5462110 5462112 12083498 12096305 12111897 12183869 12358407 12358409 12358410 12358414 11507808 11551300 10957715 11580377 12990988 11822939 10380404 21872858 25113199 46844359 54536134 54536135 54536136 57238753 53394032 71311075 71313480 87131823 87549807 87196993 87883733 92449654 101108909 101200222 101200224 101342437 101342438 101342439 101342440 101351323 101826831 119077476 119080458 122651992 122652008 122652036 122652077 129726155 129893333 134689008 131953177);YMDB Mine;CHEBI:(137828 32395 36306 15843);PubChem class - bio and metabolites;KEGG:(C00219);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(ARACHIDONIC_ACID)	103200778622
2	1	N/A	-101.20814358163456	C20H32O2	[M - H2O + H]+	OJSKJQFODPKTBT	InChI=1S/C20H32O2/c1-5-18(2)10-8-15-14(12-18)6-7-16-19(15,3)11-9-17(22)20(16,4)13-21/h5,12,15-17,21-22H,1,6-11,13H2,2-4H3	Sandaracopimaradienediol	CC1(CCC2C(=C1)CCC3C2(CCC(C3(C)CO)O)C)C=C	4.80000019	578235;12313649;10380345;22216192;44445102;46933837;90657451;101232098;101289570;129317084	COCONUT:(CNP0244121);KNApSAcK:(34094);Natural Products:(UNPD33602 UNPD46221 UNPD143299 UNPD97538 UNPD27639 UNPD81965 UNPD181673 UNPD38349 UNPD111915);PubChem:(578235 12313649 10380345 22216192 44445102 46933837 90657451 101232098 101289570 129317084);PNC:(LTS0188971 LTS0158625);SuperNatural:(SN00268955 SN00255538 SN00388056 SN00390473 SN00282001 SN00286591 SN00298651 SN00305959);CHEBI:(69238);PubMed;Biocyc:(CPD-16615)	68722657394
