rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	N/A	-85.39620254802949	C20H34O5	[M - H4O2 + H]+	PXGPLTODNUVGFL	InChI=1S/C20H34O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-19,21-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)	cyclosin	CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O	3.63945723	160;11081;115154;643782;439702;440859;3246809;3246909;5280363;5280506;5280886;5282263;5283029;5283046;5283078;5283216;5353586;6330399;6604553;10522105;10546337;10594579;10690399;6914281;9819995;10832988;9869556;9884956;12314600;12314602;12314603;12314605;11002729;11638954;11068211;11302680;11405672;16061108;20849107;20849405;22088165;22298562;22791573;22795415;25319987;25789723;35022529;35022844;35022907;35022992;35027306;40768305;40768308;40768310;40473143;44208919;52193868;52195750;51666584;51418483;54213048;54213050;54213051;54213053;54213054;57347506;57347507;57347508;57357742;57358000;53394002;53477465;53477466;53480669;53486372;57903339;57903346;59768317;67853575;67853576;71684403;70629178;71025073;71751858;70907196;71312086;86289351;88769451;88464227;90944475;90993008;92449751;92449752;89808969;90471027;91546774;91381762;92855382;92855383;92966519;101674204;101674205;101398003;102472547;117833131;122715454;124514553;123978788;124335876;124335891;124351232;124351233;124351389;124351390;124351397;127054478;127054503;126456260;126456270;130476069;133126434;133126547;131707184;134688226;134688241;134688251;134688333;134689673;134692795;134973206;134973241;134973271;139593375;139593376	HMDB:(1139 1483 2115 5083 10199 11137);PNC:(LTS0205366);SuperNatural:(SN00020425 SN00250251 SN00359996 SN00018456 SN00020444 SN00400926 SN00311920 SN00319192 SN00003589 SN00030569 SN00030570 SN00343267 SN00379421);ZINC bio:(ZINC03805921 ZINC03830707 ZINC03830709 ZINC03830710 ZINC04095842 ZINC05973277 ZINC08552290 ZINC08552291 ZINC08552292 ZINC08552293 ZINC12494893 ZINC12495508 ZINC13509284 ZINC13515574 ZINC13515575 ZINC13515576 ZINC13540344 ZINC14819859 ZINC14819861 ZINC27641118 ZINC27641268 ZINC33838832 ZINC33838833);additional;HSDB:(551-11-1);MeSH:(5280363 5280506 5280886 5282263 5283078 5283216 20849107 44208919 71312086);Plantcyc:(5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY);PubMed;NORMAN:(NS00005455);COCONUT:(CNP0097373 CNP0248684);Natural Products:(UNPD127412 UNPD50121 UNPD107443 UNPD158628 UNPD167686 UNPD97446 UNPD70779 UNPD140167 UNPD217794);PubChem:(160 11081 115154 643782 439702 440859 3246809 3246909 5280363 5280506 5280886 5282263 5283029 5283046 5283078 5283216 5353586 6330399 6604553 10522105 10546337 10594579 10690399 6914281 9819995 10832988 9869556 9884956 12314600 12314602 12314603 12314605 11002729 11638954 11068211 11302680 11405672 16061108 20849107 20849405 22088165 22298562 22791573 22795415 25319987 25789723 35022529 35022844 35022907 35022992 35027306 40768305 40768308 40768310 40473143 44208919 52193868 52195750 51666584 51418483 54213048 54213050 54213051 54213053 54213054 57347506 57347507 57347508 57357742 57358000 53394002 53477465 53477466 53480669 53486372 57903339 57903346 59768317 67853575 67853576 71684403 70629178 71025073 71751858 70907196 71312086 86289351 88769451 88464227 90944475 90993008 92449751 92449752 89808969 90471027 91546774 91381762 92855382 92855383 92966519 101674204 101674205 101398003 102472547 117833131 122715454 124514553 123978788 124335876 124335891 124351232 124351233 124351389 124351390 124351397 127054478 127054503 126456260 126456270 130476069 133126434 133126547 131707184 134688226 134688241 134688251 134688333 134689673 134692795 134973206 134973241 134973271 139593375 139593376);CHEBI:(57404 77768 27595 85173 34505 15553 90827 28922);PubChem class - bio and metabolites;KEGG:(C02314 C05959 C13809 C00639);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY)	68841040750
2	1	N/A	-122.77180824197983	C20H34O5	[M - H4O2 + H]+	GMVPRGQOIOIIMI	InChI=1S/C20H34O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h12-13,15-17,19,21,23H,2-11,14H2,1H3,(H,24,25)	Palux-d4	CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O	3.86101365	214;12943;638043;149351;3246814;3246906;7048582;5280723;5283056;5283098;5283212;5353401;6433212;6604280;6604890;9798703;12041747;12314571;12314573;12314575;11530481;11865410;15922487;10499025;16219825;20849127;22795200;22808045;24011717;26436132;35021508;35021513;53846674;53846675;53846677;57187768;57346995;57646372;59294048;59294056;57903343;71684376;71751857;71775459;70422115;88767576;88819430;90873384;92209244;92402339;91194239;91574554;91460085;124508322;124524503;124932649;124351258;124426262;131704646;131707666;132282641;132282643;134337589	HMDB:(1442 4686);PNC:(LTS0035296);SuperNatural:(SN00254244 SN00306751 SN00281540 SN00246203 SN00352808 SN00281988);ZINC bio:(ZINC03813088 ZINC03830200 ZINC03830201 ZINC03830202 ZINC05978187 ZINC15111061);additional;MeSH:(214 5280723 5283212 24011717 57346995);Plantcyc:(ALPROSTADIL);PubMed;NORMAN:(NS00009541);COCONUT:(CNP0260229 CNP0331407);Natural Products:(UNPD13979 UNPD96386 UNPD117201 UNPD134255 UNPD169021 UNPD99070 UNPD164609);PubChem:(214 12943 638043 149351 3246814 3246906 7048582 5280723 5283056 5283098 5283212 5353401 6433212 6604280 6604890 9798703 12041747 12314571 12314573 12314575 11530481 11865410 15922487 10499025 16219825 20849127 22795200 22808045 24011717 26436132 35021508 35021513 53846674 53846675 53846677 57187768 57346995 57646372 59294048 59294056 57903343 71684376 71751857 71775459 70422115 88767576 88819430 90873384 92209244 92402339 91194239 91574554 91460085 124508322 124524503 124932649 124351258 124426262 131704646 131707666 132282641 132282643 134337589);CHEBI:(92915 15544 57397);PubChem class - bio and metabolites;KEGG:(C04741);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(ALPROSTADIL)	68841040238
1	1	0.20104492253186806	-81.61179310758081	C20H30O3	[M + H]+	DYNISIGUMYFVJW	InChI=1S/C20H30O3/c1-12(2)14-10-13-6-7-17-19(3,15(13)11-16(14)21)8-5-9-20(17,4)18(22)23/h6,10,12,15-17,21H,5,7-9,11H2,1-4H3,(H,22,23)	6-hydroxy-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid	CC(C)C1=CC2=CCC3C(C2CC1O)(CCCC3(C)C(=O)O)C	3.5	288368;21128900;51136293;52325853;66825318;90471905;129316935;133613118	COCONUT:(CNP0061802 CNP0200236);HMDB:(39716);Natural Products:(UNPD190779 UNPD209939 UNPD25206);PubChem:(288368 21128900 51136293 52325853 66825318 90471905 129316935 133613118);PNC:(LTS0084143 LTS0255264);SuperNatural:(SN00036316 SN00039312 SN00036317 SN00227550 SN00352721 SN00039311);ZINC bio:(ZINC05104581 ZINC05104582 ZINC05104583 ZINC05104584 ZINC49601327 ZINC49601330);additional;PubChem class - bio and metabolites;Training Set;KEGG Mine	77329915914
2	1	N/A	-87.4370742124689	C20H30O3	[M + H]+	BYQLYGRDILHOFF	InChI=1S/C20H30O3/c1-18(2,23)14-7-8-15-13(12-14)6-9-16-19(15,3)10-5-11-20(16,4)17(21)22/h6,12,15-16,23H,5,7-11H2,1-4H3,(H,21,22)	15-hydroxyabieta-7,13-dien-18-oic acid	CC12CCCC(C1CC=C3C2CCC(=C3)C(C)(C)O)(C)C(=O)O	3.4000001	643004;11220870	COCONUT:(CNP0148664);Natural Products:(UNPD133880);PubChem:(643004 11220870);PNC:(LTS0122858 LTS0142664);SuperNatural:(SN00284739);KEGG Mine	77312589826
3	1	N/A	-96.66382614265507	C20H30O3	[M + H]+	SNMGJTHIWYSOSX	InChI=1S/C20H30O3/c1-14(12-18(22)23)6-8-16-15(2)7-9-17-19(3,13-21)10-5-11-20(16,17)4/h12-13,16-17H,2,5-11H2,1,3-4H3,(H,22,23)	null	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCCC2(C)C=O)C	4.69999981	101297697	COCONUT:(CNP0237166);KNApSAcK:(22709);Natural Products:(UNPD112087 UNPD211495);PubChem:(101297697);PNC:(LTS0100294);SuperNatural:(SN00382125)	68722655250
4	1	N/A	-100.56890980530851	C20H30O3	[M + H]+	KLZNBERWPKTMAP	InChI=1S/C20H30O3/c1-5-18(2)9-8-15-13(10-18)6-7-16-19(15,3)11-14(21)12-20(16,4)17(22)23/h5,10,14-16,21H,1,6-9,11-12H2,2-4H3,(H,22,23)	null	CC1(CCC2C(=C1)CCC3C2(CC(CC3(C)C(=O)O)O)C)C=C	4.19999981	46909883	COCONUT:(CNP0102882 CNP0226253);PubChem:(46909883);PNC:(LTS0081430);SuperNatural:(SN00163185);KEGG Mine	77312557058
5	1	N/A	-101.11965196293488	C20H30O3	[M + H]+	HZIPQMQRBXJVNO	InChI=1S/C20H30O3/c1-13(12-18(22)23)6-8-15-14(2)7-9-16-19(3,4)17(21)10-11-20(15,16)5/h12,15-16H,2,6-11H2,1,3-5H3,(H,22,23)	3-Oxoanticopalic Acid	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCC(=O)C2(C)C)C	4.4000001	13858184	COCONUT:(CNP0280590);Natural Products:(UNPD52783);PubChem:(13858184);PNC:(LTS0104696 LTS0095904);SuperNatural:(SN00324166);PubMed	68722655298
6	1	N/A	-119.26917121131474	C20H30O3	[M + H]+	WUENWZUJMIZJPA	InChI=1S/C20H30O3/c1-18(12-21)7-3-8-19(2)15(18)6-9-20-10-13(4-5-16(19)20)14(11-20)17(22)23/h11,13,15-16,21H,3-10,12H2,1-2H3,(H,22,23)	null	CC1(CCCC2(C1CCC34C2CCC(C3)C(=C4)C(=O)O)C)CO	4.80000019	14354998;91884911;91895324;129316738;137704793	COCONUT:(CNP0184453);Natural Products:(UNPD118862);PubChem:(14354998 91884911 91895324 129316738 137704793);PNC:(LTS0092318);SuperNatural:(SN00317997)	68722655234
7	1	N/A	-216.06317092220846	C20H30O3	[M + H]+	GDAJTKZIGQRGOD	InChI=1S/C20H30O3/c1-14(2)16-8-5-7-15(13-16)9-10-17-19(3,18(21)22)11-6-12-20(17,4)23/h5,7-8,13-14,17,23H,6,9-12H2,1-4H3,(H,21,22)	null	CC(C)C1=CC=CC(=C1)CCC2C(CCCC2(C)O)(C)C(=O)O	4.19999981	101494939	COCONUT:(CNP0272335);Natural Products:(UNPD84267);PubChem:(101494939);PNC:(LTS0161399 LTS0120852);SuperNatural:(SN00346664)	68722655234
8	1	N/A	-251.746315299368	C20H30O3	[M + H]+	FTCCXIDYXDLLRK	InChI=1S/C20H30O3/c1-18(2,23)13-6-7-15-14(10-13)16(22)11-17-19(3,12-21)8-5-9-20(15,17)4/h6-7,10,16-17,21-23H,5,8-9,11-12H2,1-4H3	abieta-8,11,13-triene-7,15,18-triol	CC1(CCCC2(C1CC(C3=C2C=CC(=C3)C(C)(C)O)O)C)CO	2.9000001	220348;3009626;3838750;91895315;101405772;129317105;133561998	COCONUT:(CNP0361419);KNApSAcK:(35021);Natural Products:(UNPD216672 UNPD30553 UNPD67402);PubChem:(220348 3009626 3838750 91895315 101405772 129317105 133561998);PNC:(LTS0193734 LTS0004074);SuperNatural:(SN00229462 SN00258326);PubMed	68722655314
