rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C30H54O7	[M + Na]+	C30H54O7	0.9793969849246233	46.42619380733174	46.42619380733174	0.0	28	0.8000844256350866	-1.9688564756552265	5.5055166512122895	0.30101558780910725	
2	C28H52N3O6	[M + Na]+	C28H52N3O6	0.015577889447236183	43.01841485790544	43.01841485790544	0.0	31	0.8120555477383673	-1.9042828168381465	5.4331599283691965	2.7450305589038058	
3	C25H56N3O6S	[M + Na]+	C25H56N3O6S	0.004522613065326634	41.526921010496295	41.526921010496295	0.0	30	0.8064163482665687	-2.142756457845187	5.390733657197238	-3.39125117316645	
4	C25H54N2O9	[M + Na]+	C25H54N2O9	5.025125628140704E-4	39.76797101797352	39.76797101797352	0.0	28	0.8236261892649562	-1.3593671446381987	5.870729420931061	7.623427759728806	
5	C33H52NO4	[M + Na]+	C33H52NO4	0.0	36.23394026379027	36.23394026379027	0.0	24	0.7795733258288327	-1.1774463791072916	5.041802303106552	-4.577381613015892	
6	C34H54O2S	[M + Na]+	C34H54O2S	0.0	22.2912108891185	22.2912108891185	0.0	25	0.4230806697767052	0.9919482917391782	6.163585467806741	4.855452714428726	
7	C31H58O2S2	[M + Na]+	C31H58O2S2	0.0	22.280878159890776	22.280878159890776	0.0	25	0.4230806697767052	-0.6713832518281548	6.163585467806741	-1.2808290176415307	
8	C29H56N3OS2	[M + Na]+	C29H56N3OS2	0.0	13.28327054892247	13.28327054892247	0.0	28	0.6736732727922158	1.041035799892936	7.364608648736766	1.1631859534531679	
9	C32H52N3OS	[M + Na]+	C32H52N3OS	0.0	11.408240344053269	11.408240344053269	0.0	27	0.5913258071848384	2.2667553894783476	7.226405488450448	7.299467685523424	
10	C36H50N2O	[M + Na]+	C36H50N2O	0.0	10.182729545331558	10.182729545331558	0.0	15	0.31552457543646983	-1.9042828168381465	6.163585467806741	-9.45577881404783	
