rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C20H34O6	[M - H2O + H]+	C20H32O5	0.9839195979899499	55.00819522682203	53.01004487933266	1.998150347489373	15	0.36224489795918363	2.549944067346483	6.39197006778406	-50993.75307603667	
2	C18H32N3O5	[M - H2O + H]+	C18H30N3O4	0.01306532663316583	50.33357668862754	48.374411530366	1.9591651582615444	20	0.4634801288936628	0.7185610594097749	5.193177888068896	-50989.9519183082	
3	C15H34N2O8	[M - H2O + H]+	C15H32N2O7	0.0025125628140703522	48.520322748109784	48.33935790211761	0.1809648459921709	22	0.514500537056928	2.4172444090723233	5.750511044361572	-50982.36458457951	
4	C18H34O5	[M + Na]+	C18H34O5	5.025125628140704E-4	48.94033711439582	46.91785691032221	2.0224802040736063	13	0.35096670247046186	5.062550683949715	6.938159304793009	1.225296952079848	
5	C21H32NO2	[M + Na]+	C21H32NO2	0.0	40.6101983469008	39.436780853840304	1.173417493060498	17	0.4105800214822772	6.918734583868874	6.938159304793009	-6.362036776776157	
6	C16H32N3O4	[M + Na]+	C16H32N3O4	0.0	40.58053862825095	40.025336612109115	0.5552020161418345	19	0.48120300751879697	6.182294756322131	6.938159304793009	5.026454680385197	
7	C21H38OS2	[M - H2O + H]+	C21H36S2	0.0	38.684688618961765	38.684688618961765	0.0	13	0.35257787325456497	4.462931702558858	8.645928325055941	-50996.213306811944	
8	C24H34OS	[M - H2O + H]+	C24H32S	0.0	37.04705221521546	37.04705221521546	0.0	13	0.3547261009667025	3.7366124637194305	7.782596172693309	-50986.6695949254	
9	C19H38S2	[M + Na]+	C19H38S2	0.0	10.636050420693724	10.636050420693724	0.0	7	0.1495703544575725	-0.3224977975486834	6.938159304793009	-1.2349338233489626	
10	C22H34S	[M + Na]+	C22H34S	0.0	9.487807067169461	9.487807067169461	0.0	7	0.1495703544575725	6.918734583868874	7.670142118138207	8.30877806334429	
